Standings,Team.1,Total
1.0,DNO,91
2.0,Controller Bots,41
3.0,ING,30
4.0,Nobody,28
5.0,Kox Gaming,26
6.0,Hardstuck10k,25
7.0,XcellentEra,24
8.0,UBC Blue,19
9.0,ROT,18
10.0,The Monke Men,16
11.0,INF,15
12.0,Lonesome Devils,12
13.0,Dub4Bub,9
14.0,Modern Esports,9
15.0,LegendaryEsports,8
