Standings,Team.1,Total
1.0,Sokudo Plus,70
2.0,MOAN,50
3.0,Coconut Island,37
4.0,BQB,35
5.0,Savage Misfits,35
6.0,Alliance Esports,29
7.0,Koatl esports,21
8.0,Deathbox Hunters,18
9.0,OnTheRocks,12
10.0,AEG Esports,12
11.0,WiFi Boyz,10
12.0,UwUCrew,10
13.0,Virtual Nightmare,9
14.0,wizzy,5
15.0,The BRKN CNTRLR,4
