Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,EST,66,11,2,3,9,2,11,1,15
2.0,LF,49,2,9,9,1,4,0,2,14
3.0,Siracha,45,1,13,10,1,11,3,3,6
4.0,Onyx,43,8,7,6,5,1,9,6,2
5.0,RAWR,43,6,4,1,10,3,2,12,4
6.0,Moon Boys,38,4,2,8,7,7,9,4,5
7.0,Iron Giant,22,10,1,2,4,8,2,8,0
8.0,Kaged,21,5,3,5,1,5,5,18,0
9.0,Lost Pub Players,20,3,4,14,4,9,2,17,0
10.0,Tin Roof Tacos,12,7,3,17,3,12,1,14,0
11.0,Lorax,12,18,2,11,0,13,3,5,1
12.0,Weekend Warriors,11,9,3,19,0,10,0,7,1
13.0,Unofficial,10,16,0,15,3,6,0,13,2
14.0,DoX Rolla,10,14,0,4,2,15,0,11,0
15.0,OSU Esports,9,15,1,7,1,18,0,9,1
16.0,ControllerLegend,6,12,2,18,0,14,2,16,0
17.0,RCO,5,20,0,12,1,16,1,10,0
18.0,Vertic,4,17,0,16,2,19,1,15,0
19.0,Abbys Sports,2,13,0,13,0,17,0,0,0
20.0,Victory Or Death,0,19,0,20,0,20,0,0,0
