Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Unsigned Talent,70,6,4,1,13,4,10,1,11
2.0,WASH,67,1,21,9,9,6,5,6,12
3.0,NSO,51,3,1,3,10,1,8,7,3
4.0,ING,48,7,5,8,3,8,8,2,16
5.0,Zoo Pals,35,2,8,5,6,12,6,17,1
6.0,Wonderboys,29,4,1,2,3,11,0,3,3
7.0,Pepes Silvia,25,15,0,7,3,3,4,5,3
8.0,Mexican Demons,18,10,0,10,1,2,3,12,0
9.0,LadyandTheTramps,16,5,6,6,0,10,0,13,0
10.0,oni,14,14,8,18,1,19,1,11,2
11.0,Laggy 'n Rollers,14,8,0,17,0,15,2,4,4
12.0,EAB MODEL,13,20,0,19,3,5,1,10,3
13.0,CVS,10,16,0,4,1,9,2,19,0
14.0,The Loud Boys,9,12,0,15,3,17,3,14,0
15.0,Space Mommy,7,13,0,13,0,14,3,15,0
16.0,Waffle Stompers,6,9,1,16,0,7,0,18,0
17.0,NNG,4,17,2,20,0,20,0,9,0
18.0,Zachs Chest Hair,4,11,0,12,2,18,0,20,0
19.0,Team PreMid,4,18,0,11,0,13,0,8,0
20.0,TexasRatsnakes,1,19,0,14,0,16,0,16,0
