Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby,Round
1.0,CJAM,67,1,13,4,7,18,0,2,4,11,1,2,6,Lobby 1,Finals
2.0,D4RK,59,11,0,9,1,1,11,8,3,6,3,1,9,Lobby 1,Finals
3.0,LFT BKGK,53,4,3,12,6,8,3,5,11,7,3,3,5,Lobby 1,Finals
4.0,Lunatics,50,10,4,11,8,3,5,3,5,8,3,7,3,Lobby 1,Finals
5.0,GODOsushiTabetai,42,2,3,1,7,14,2,14,3,16,0,5,0,Lobby 1,Finals
6.0,GW,41,14,2,2,6,5,1,6,2,14,2,6,7,Lobby 1,Finals
7.0,KaisenDONDON,35,5,4,6,1,12,2,11,0,5,3,4,7,Lobby 1,Finals
8.0,IBSG,35,3,9,8,1,9,1,20,0,2,4,17,0,Lobby 1,Finals
9.0,Marine,34,15,2,17,0,6,5,10,0,1,8,12,0,Lobby 1,Finals
10.0,Black,33,16,3,10,0,16,3,1,11,17,0,10,0,Lobby 1,Finals
11.0,AVA,33,8,0,15,0,10,4,4,3,3,5,14,3,Lobby 1,Finals
12.0,RPG,31,12,0,3,7,4,8,18,1,19,0,8,0,Lobby 1,Finals
13.0,FC Destroy,26,19,4,16,3,7,7,9,4,18,0,18,3,Lobby 1,Finals
14.0,456,26,9,1,13,1,19,0,16,5,10,9,13,4,Lobby 1,Finals
15.0,LandMarkGondola,26,20,0,19,0,2,4,13,4,9,1,9,3,Lobby 1,Finals
16.0,BKMN,23,13,0,7,4,17,0,7,0,4,7,16,0,Lobby 1,Finals
17.0,ARK5,21,7,9,18,0,15,1,12,2,12,2,15,0,Lobby 1,Finals
18.0,HE,21,6,1,14,2,11,2,17,0,15,2,11,7,Lobby 1,Finals
19.0,SYTH,10,17,0,5,3,13,1,15,0,20,0,20,0,Lobby 1,Finals
20.0,Jamboree,6,18,0,20,0,20,0,19,0,13,5,19,0,Lobby 1,Finals
