Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,LM,68,13,7,18,1,11,7,1,11,16,0,1,16
2.0,DUMPERS,55,1,9,4,9,14,4,9,7,14,4,11,0
3.0,Onyx,51,10,3,3,8,1,7,14,0,9,3,10,4
4.0,UORG,51,3,1,10,4,4,2,20,0,1,7,3,4
5.0,RL,49,6,6,7,2,13,3,5,7,3,10,7,0
6.0,TDG,45,2,6,5,3,8,0,10,1,7,5,4,5
7.0,SDO,41,20,0,1,10,3,2,12,2,18,0,5,3
8.0,CAS,40,8,1,14,1,10,3,3,7,4,9,12,1
9.0,Big3Protagonist,37,9,7,13,0,2,6,6,1,6,1,13,3
10.0,OA,36,15,0,2,3,7,2,15,1,2,2,9,3
11.0,Boston Monsters,29,12,2,8,3,20,0,19,0,17,0,2,12
12.0,MDL,28,17,0,19,0,15,0,2,3,5,4,6,4
13.0,ChayKayJay,26,14,0,15,1,5,3,7,3,10,8,18,0
14.0,Inspired,25,11,4,6,1,6,6,11,2,15,0,14,2
15.0,ING,22,7,1,11,2,9,9,13,1,19,0,8,0
16.0,Raw Material,22,19,0,9,3,17,1,4,8,8,1,19,0
17.0,OFM,14,4,7,17,1,16,0,16,0,13,0,16,0
18.0,EQ,14,5,2,20,0,19,0,8,3,12,1,15,0
19.0,Big FNA,4,16,0,12,3,18,0,17,0,20,0,20,0
20.0,EXAgents,2,18,0,16,0,12,0,18,0,11,0,17,0
