,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,INF,53,53
1,2.0,ANgun,48,48
2,3.0,Pavlova,41,41
3,4.0,DSG,36,36
4,5.0,RNG,35,35
5,6.0,Estrell,35,35
6,7.0,WAT,34,34
7,8.0,Suspicious Fools,25,25
8,9.0,EVO.Supreme,13,13
9,10.0,Elegants,10,10
10,11.0,GOD OF DREAM,9,9
11,12.0,Chronostasis,5,5
12,13.0,CornerRyzen,5,5
13,14.0,Thamizh eSports,4,4
