,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,WHIZ,74,74
1,2.0,April,53,53
2,3.0,RebellioN,32,32
3,4.0,BOG,29,29
4,5.0,madzJabol,28,28
5,6.0,EVO.Shadow,28,28
6,7.0,JOKO,27,27
7,8.0,RyZ HK,27,27
8,9.0,Team Psycho,15,15
9,10.0,hello nihao,15,15
10,11.0,Easy AF!,13,13
11,12.0,Madu Sunnah Ai,11,11
12,13.0,Atrox Rex PH,8,8
13,14.0,0 Brains,6,6
