,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,GS,77,77
1,2.0,Dimple Esport,54,54
2,3.0,uwuXuwu,52,52
3,4.0,AFxRP Skyrise,34,34
4,5.0,Bad Genius,27,27
5,6.0,DESI,21,21
6,7.0,Joker,20,20
7,8.0,DDYM,13,13
8,9.0,YOII,12,12
9,10.0,Anthem Sygma,10,10
10,11.0,TEAM MIRACLE,9,9
11,12.0,WINGS,8,8
12,13.0,Rock & Morti,5,5
13,14.0,The Desi Boys,1,1
