,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 October 9, 2021 - 12:00 BSTWorld's Edge Oui Chocolat Space Pigeons","Round 1 Round 1 October 9, 2021 - 12:00 BSTWorld's Edge Oui Chocolat Space Pigeons","Round 2 Round 2 October 9, 2021 - 12:35 BSTWorld's Edge Oui Justthreeplayers Space Pigeons","Round 2 Round 2 October 9, 2021 - 12:35 BSTWorld's Edge Oui Justthreeplayers Space Pigeons","Round 3 Round 3 October 9, 2021 - 13:10 BSTWorld's Edge Tania & Friends Chocolat Weebs Out","Round 3 Round 3 October 9, 2021 - 13:10 BSTWorld's Edge Tania & Friends Chocolat Weebs Out","Round 4 Round 4 October 9, 2021 - 13:45 BSTWorld's Edge Oui Space Pigeons CarryRubick fans","Round 4 Round 4 October 9, 2021 - 13:45 BSTWorld's Edge Oui Space Pigeons CarryRubick fans"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,Oui,70,112,1111,112,99,92,33,112,99
1,2.0,Weebs Out,43,92,33,92,66,37,1414,73,66
2,3.0,SPPI,36,37,22,37,22,131,0,29,88
3,4.0,CHOC,34,29,44,73,33,29,22,54,0
4,5.0,Justthreeplayers,29,63,11,29,99,82,0,82,33
5,6.0,Tania & Friends,25,73,11,121,0,112,66,92,0
6,7.0,onetap,23,54,66,111,33,121,0,45,33
7,8.0,Explosion,20,45,55,102,0,63,44,121,0
8,9.0,DIVE,18,111,22,82,0,45,77,111,0
9,10.0,LPm,15,131,0,54,0,73,0,63,44
10,11.0,CarryRubick fans,13,102,0,131,0,102,0,37,11
11,12.0,Shadow IllusionZ,12,121,0,45,0,54,0,102,0
12,13.0,1 long rangers,8,82,0,63,11,111,0,131,0
13,14.0,JustLastTry,0,200,0,200,0,200,0,200,0
