Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Bracket
1.0,TREX,96,16,1,1,11,2,4,3,8,3,7,1,15,Finals
2.0,RAT,57,17,0,15,6,6,2,5,14,4,11,20,2,Finals
3.0,PXL,56,4,1,2,9,7,5,4,1,11,2,17,5,Finals
4.0,FB,46,8,2,5,6,11,3,9,4,1,7,12,2,Finals
5.0,SQG,45,14,4,12,0,3,8,10,3,16,0,2,10,Finals
6.0,SSD,45,1,9,3,7,18,1,8,2,17,0,7,0,Finals
7.0,AP,41,12,4,7,3,1,9,17,0,12,2,6,3,Finals
8.0,USG,41,2,11,8,3,12,0,13,0,8,1,13,3,Finals
9.0,CHI,39,10,3,11,3,4,6,12,0,2,8,15,0,Finals
10.0,PRSTS,36,11,3,4,2,14,3,6,5,13,3,3,2,Finals
11.0,1872,36,6,9,16,0,17,0,1,6,15,2,10,0,Finals
12.0,SMS,35,15,1,18,0,9,6,15,0,6,7,4,4,Finals
13.0,SJP2,31,19,1,10,3,5,3,11,2,10,0,5,3,Finals
14.0,HKE,27,7,3,17,0,19,0,2,5,5,0,9,1,Finals
15.0,GOD,24,5,2,14,0,10,2,19,0,9,3,18,4,Finals
16.0,CLQ,23,9,0,9,2,8,3,18,2,7,6,11,0,Finals
17.0,SCTA,17,13,0,13,0,16,0,7,3,19,1,19,0,Finals
18.0,6bnt,16,3,1,6,1,15,1,14,0,14,0,16,0,Finals
19.0,CRAZYx3,11,20,2,19,0,13,2,16,4,20,0,8,0,Finals
20.0,ZBW,7,18,0,20,0,20,0,20,0,18,0,14,6,Finals
1.0,SQG,81,1,14,1,7,1,9,5,7,15,3,16,0,Losers_Bracket
2.0,ZBW,63,2,5,11,1,13,0,6,5,4,8,1,13,Losers_Bracket
3.0,FB,57,13,1,3,10,4,4,1,10,12,6,17,0,Losers_Bracket
4.0,PRSTS,48,3,10,12,3,6,4,13,0,9,1,2,7,Losers_Bracket
5.0,CHI,47,8,2,5,4,8,2,12,0,1,14,11,3,Losers_Bracket
6.0,6bnt,38,10,0,6,3,11,4,2,5,11,0,3,3,Losers_Bracket
7.0,AP,37,5,5,4,4,10,3,14,1,5,3,9,3,Losers_Bracket
8.0,HKE,35,12,0,15,0,7,0,3,3,3,5,7,5,Losers_Bracket
9.0,CLQ,34,0,0,18,0,2,9,4,5,18,0,4,1,Losers_Bracket
10.0,CRAZYx3,32,4,2,8,2,15,3,11,3,8,2,5,5,Losers_Bracket
11.0,TRJ,28,11,1,9,6,5,3,7,2,6,0,15,2,Losers_Bracket
12.0,Steamroller,27,16,0,14,0,3,4,18,0,2,1,8,3,Losers_Bracket
13.0,NoHalo,26,7,0,13,1,9,0,8,7,10,6,10,0,Losers_Bracket
14.0,ATK,25,14,0,2,10,16,0,15,0,16,0,12,3,Losers_Bracket
15.0,NXB,18,17,0,17,0,12,3,16,2,7,1,6,5,Losers_Bracket
16.0,HNY,14,9,3,16,0,14,2,10,0,14,3,18,0,Losers_Bracket
17.0,SPPI,13,15,0,7,1,17,2,9,1,13,0,13,1,Losers_Bracket
18.0,WLS,12,6,5,10,0,18,0,17,0,17,1,14,0,Losers_Bracket
19.0,INS,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
20.0,backseat,0,0,0,0,0,0,0,0,0,0,0,0,0,Losers_Bracket
1.0,PXL,73,1,17,8,6,8,1,7,3,1,9,7,3,Winners_Bracket
2.0,RAT,49,9,0,11,2,6,0,3,8,12,0,1,13,Winners_Bracket
3.0,SCTA,49,4,2,1,8,10,8,8,0,13,0,4,4,Winners_Bracket
4.0,USG,46,5,4,4,7,12,2,2,4,6,6,13,0,Winners_Bracket
5.0,SJP2,44,6,3,6,0,9,3,4,4,3,4,9,8,Winners_Bracket
6.0,SMS,42,12,3,7,4,2,8,11,5,9,3,8,1,Winners_Bracket
7.0,GOD,41,8,0,5,3,4,2,12,1,2,5,3,2,Winners_Bracket
8.0,TREX,40,7,0,12,0,3,5,17,3,4,8,6,5,Winners_Bracket
9.0,SSD,38,13,1,16,0,1,12,5,3,17,1,11,3,Winners_Bracket
10.0,1872,37,14,1,17,3,5,2,10,4,14,0,2,10,Winners_Bracket
11.0,CRAZYx3,36,2,13,15,3,15,3,13,0,7,1,15,0,Winners_Bracket
12.0,ZBW,35,18,0,9,2,7,5,1,7,10,1,14,0,Winners_Bracket
13.0,FB,28,11,3,3,5,18,0,9,2,5,3,12,0,Winners_Bracket
14.0,TRJ,28,16,0,2,4,14,0,6,6,16,0,10,3,Winners_Bracket
15.0,SQG,17,3,3,14,0,17,0,15,3,15,1,17,0,Winners_Bracket
16.0,AP,12,17,0,19,1,16,3,14,1,8,4,16,0,Winners_Bracket
17.0,HKE,12,10,2,10,0,11,0,16,0,19,0,5,1,Winners_Bracket
18.0,CLQ,10,19,0,18,3,19,0,19,0,11,6,19,0,Winners_Bracket
19.0,WLS,8,15,2,13,3,13,0,18,0,18,0,18,0,Winners_Bracket
20.0,backseat,0,0,0,0,0,0,0,0,0,0,0,0,0,Winners_Bracket
