Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5
9.0,ASUR,21,8,5,7,0,3,2,8,0,Lobby 4,Quarterfinals,,,,
10.0,WING,20,15,0,16,5,6,6,5,1,Lobby 4,Quarterfinals,,,,
11.0,TS,18,14,0,8,0,8,3,6,7,Lobby 4,Quarterfinals,,,,
12.0,Shadow Point,12,11,0,10,1,10,3,9,1,Lobby 4,Quarterfinals,,,,
13.0,Revenge,12,4,3,14,0,12,1,14,0,Lobby 4,Quarterfinals,,,,
14.0,FA,8,17,0,17,0,14,1,10,4,Lobby 4,Quarterfinals,,,,
15.0,Vortex CGO,8,12,1,12,0,17,2,7,0,Lobby 4,Quarterfinals,,,,
16.0,Raging Clue,8,13,0,15,0,4,0,12,0,Lobby 4,Quarterfinals,,,,
17.0,LFBois,7,20,0,20,0,9,5,18,0,Lobby 4,Quarterfinals,,,,
18.0,ChadP,5,9,0,11,2,16,0,16,0,Lobby 4,Quarterfinals,,,,
19.0,Patrón,5,19,0,6,1,11,0,17,0,Lobby 4,Quarterfinals,,,,
20.0,Rodents,0,16,0,19,0,20,0,20,0,Lobby 4,Quarterfinals,,,,
1.0,GSG,78,1,8,10,2,6,3,2,9,Lobby 1,Semifinals,1.0,11.0,4.0,2.0
2.0,MM,66,6,5,1,10,16,0,6,11,Lobby 1,Semifinals,8.0,11.0,5.0,5.0
3.0,TPM,61,14,4,16,0,13,2,1,9,Lobby 1,Semifinals,3.0,4.0,1.0,9.0
4.0,ZLB,50,2,9,11,3,3,3,3,1,Lobby 1,Semifinals,6.0,4.0,8.0,1.0
5.0,North,46,10,1,2,3,1,14,19,0,Lobby 1,Semifinals,11.0,0.0,14.0,3.0
6.0,SDO,44,4,1,4,5,2,8,11,3,Lobby 1,Semifinals,17.0,0.0,7.0,4.0
7.0,ING,41,3,5,5,3,5,8,14,0,Lobby 1,Semifinals,9.0,3.0,15.0,3.0
8.0,EQ,39,15,4,17,0,14,4,4,5,Lobby 1,Semifinals,16.0,0.0,2.0,10.0
9.0,CCE UCX,38,5,6,6,13,8,6,16,0,Lobby 1,Semifinals,19.0,0.0,10.0,2.0
10.0,iRL,30,7,9,3,5,12,0,15,2,Lobby 1,Semifinals,15.0,1.0,19.0,0.0
11.0,ABST,29,17,0,13,0,11,0,18,0,Lobby 1,Semifinals,2.0,7.0,3.0,4.0
