Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,P.4,K.4,P.5,K.5,Lobby
1.0,DUMPERS,59,6,14,5,5,13,2,8,4,3,12,8,3,Lobby 1
2.0,LVG,59,13,4,2,10,18,0,1,16,13,1,5,1,Lobby 1
3.0,My Neck My Back,53,1,10,11,7,19,0,16,2,20,0,1,9,Lobby 1
4.0,RCO,47,7,0,1,8,2,5,5,2,8,0,9,0,Lobby 1
5.0,RGP,45,4,6,10,1,3,11,13,0,5,7,12,0,Lobby 1
6.0,D A B,44,14,0,14,0,5,6,11,0,4,3,4,18,Lobby 1
7.0,Unsigned Talent,42,10,2,15,4,17,1,15,1,2,11,7,7,Lobby 1
8.0,FNS,42,2,11,20,0,12,1,12,5,10,1,3,4,Lobby 1
9.0,AST,40,11,0,3,3,1,7,3,3,17,0,17,0,Lobby 1
10.0,LKM,34,18,1,6,8,8,0,2,6,15,3,18,1,Lobby 1
11.0,LM,32,5,3,9,5,9,10,19,0,12,4,14,0,Lobby 1
12.0,NM,26,3,4,17,0,6,5,18,5,18,0,13,1,Lobby 1
13.0,WASH,26,15,0,7,5,20,0,17,4,16,0,2,4,Lobby 1
14.0,EQ,25,20,0,19,0,14,3,20,0,1,6,11,2,Lobby 1
15.0,Select,22,9,3,4,2,11,0,9,7,19,0,19,0,Lobby 1
16.0,LF,17,12,0,16,0,15,0,4,3,9,0,10,3,Lobby 1
17.0,ChayKayJay,16,16,0,13,0,7,3,14,1,6,4,16,0,Lobby 1
18.0,CAS,15,8,1,8,0,10,0,10,0,11,1,15,3,Lobby 1
19.0,ReVive me pls,14,19,0,18,0,4,2,6,0,14,0,6,0,Lobby 1
20.0,CCE,13,17,0,12,0,16,0,7,2,7,4,20,0,Lobby 1
