Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,NMS,63,1,16,1,8,17,3,10,10
2.0,NoFear,44,7,7,10,5,1,7,5,4
3.0,ORCL,39,2,0,17,0,3,12,2,2
4.0,DI,33,11,1,2,9,5,6,13,2
5.0,TOG,29,8,4,9,4,2,5,8,1
6.0,SPPI,29,12,5,18,1,7,0,1,7
7.0,ExplosionFusion,28,3,3,8,3,13,0,3,5
8.0,Back to Lobby,24,4,8,4,6,18,0,18,0
9.0,UTFT,24,19,0,14,0,4,6,4,7
10.0,SCBS,24,6,4,3,2,10,3,12,2
11.0,SPIRAL,18,14,0,7,3,12,5,7,2
12.0,TREX,16,18,0,12,7,11,5,9,0
13.0,DynamiX,13,17,0,6,1,15,0,6,5
14.0,EFG Team,13,5,4,11,0,8,2,20,0
15.0,SlayerOfSundays,11,20,0,5,7,19,0,19,0
16.0,Ignite,11,9,1,20,1,6,3,15,0
17.0,ALKaIIIbI,10,15,0,16,0,14,1,14,6
18.0,BGR,7,10,0,13,3,16,1,17,0
19.0,SCTA,6,13,0,19,0,9,0,16,3
20.0,BWG,5,16,2,15,1,20,0,11,0
