Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,RD,65,7,10,3,11,1,12,15,9
2.0,BCG,53,2,10,1,12,3,2,12,0
3.0,Dababy,42,3,9,2,5,2,3,18,0
4.0,CRAZYx3,40,1,7,8,0,11,3,5,11
5.0,Weebs Out,32,13,3,15,4,7,12,4,3
6.0,DM,32,12,1,7,3,18,2,1,10
7.0,FV,30,11,1,5,8,6,6,13,6
8.0,Aspirateur,25,5,1,9,5,17,1,2,3
9.0,iEnvy,20,4,6,6,1,10,0,9,1
10.0,PRSTS,18,6,8,4,0,16,0,10,0
11.0,Hope Die Last,16,8,0,14,2,8,6,16,3
12.0,HNY,15,9,0,13,0,4,4,8,1
13.0,Uchinix,14,20,0,20,0,5,3,7,4
14.0,Duck Goes Quack,13,10,0,10,2,13,2,14,3
15.0,AP,10,17,0,11,0,14,0,3,1
16.0,6bnt,9,16,1,12,0,12,1,6,2
17.0,Amaterasu,4,15,0,17,1,9,0,17,0
18.0,Fluffy Bunnies,2,14,0,16,0,20,0,11,0
19.0,TRIPLEU,1,19,0,19,0,19,1,19,0
20.0,TRIHARD,1,18,0,18,0,15,0,20,0
