Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,AAS,68,7,3,1,22,1,16,18,0
2.0,TD,51,1,8,4,3,14,2,3,13
3.0,RAT,49,2,11,6,3,3,8,14,7
4.0,OG,40,5,8,12,3,11,2,1,9
5.0,NXB,36,10,6,2,3,2,4,11,2
6.0,MP,28,18,0,18,1,5,2,2,12
7.0,plei,25,19,0,7,3,4,8,5,2
8.0,Ween Gang,24,13,0,5,6,8,3,4,3
9.0,CHI,22,4,3,11,2,7,4,8,2
10.0,Young Squad,15,3,2,8,2,12,0,12,0
11.0,USG,14,11,3,10,2,9,3,13,0
12.0,MOB INT,13,17,0,3,3,13,0,9,0
13.0,Arise eSport 2,12,6,2,19,0,6,0,7,1
14.0,NIBL,10,15,0,9,3,19,0,10,2
15.0,SMS,9,9,0,15,1,10,1,15,1
16.0,WICKED,8,20,0,13,0,16,3,6,1
17.0,0219,6,14,2,17,0,17,0,16,3
18.0,GVG,4,12,3,20,0,20,0,19,0
19.0,FriendsofBoomers,3,8,0,16,0,15,0,20,0
20.0,PS_Esport,2,16,0,14,0,18,0,17,1
