,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,OF,60,60
1,2.0,AIM,59,59
2,3.0,TCS,39,39
3,4.0,Infinity Evo,33,33
4,5.0,KZN,24,24
5,6.0,Os MIAU,22,22
6,7.0,Los perro waton,21,21
7,8.0,New Age,18,18
8,9.0,Svart Katze,17,17
9,10.0,LostSoulsDreamer,16,16
10,11.0,Legión de monos,12,12
11,12.0,TRAGIIC BR,11,11
12,13.0,AleatorioS Team,10,10
