,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Pandora,52,52
1,2.0,EASY CLAP,46,46
2,3.0,BHT,36,36
3,4.0,ICEBERGS,36,36
4,5.0,Keep Moving Fwd,34,34
5,6.0,2 And a Half Man,29,29
6,7.0,PoliShopu,29,29
7,8.0,PiscoSour,27,27
8,9.0,Voy a Hacer,14,14
9,10.0,Natural Killer,14,14
10,11.0,VAPO VAPO,11,11
11,12.0,Lobo De Gelo,11,11
12,13.0,Dragão Elite,9,9
