,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,SP,62,62
1,2.0,AGCL,57,57
2,3.0,ZISKA,44,44
3,4.0,Inka Supremacy,41,41
4,5.0,sFx,23,23
5,6.0,PATETEX,22,22
6,7.0,BRATVA420Forever,22,22
7,8.0,1crack2crack,21,21
8,9.0,Spartan Warriors,16,16
9,10.0,SCAL,13,13
10,11.0,Dynanik Team 1,8,8
11,12.0,SEQL,5,5
