,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,Love Egirls,61,61
1,2.0,ZGravityEsports,52,52
2,3.0,KARMA K41,48,48
3,4.0,Seven,38,38
4,5.0,ElemenT,30,30
5,6.0,NÃO sei,26,26
6,7.0,HU3HU3HU3BR,25,25
7,8.0,Squad Sombra,20,20
8,9.0,OS KRACUDOS,17,17
9,10.0,KPS,10,10
10,11.0,MASE,9,9
11,12.0,Sons of Anarchy,7,7
12,13.0,X RyZe Gaming,4,4
