,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,BRZ,79,79
1,2.0,ZETTA,40,40
2,3.0,Blagueur,38,38
3,4.0,Coquinha gelada,37,37
4,5.0,Mystical,29,29
5,6.0,As Misera,23,23
6,7.0,Fluxo Team,22,22
7,8.0,Sory,22,22
8,9.0,xKarma,15,15
9,10.0,Tharsis,13,13
10,11.0,CHTM,11,11
11,12.0,LosÁlamosGaming,8,8
12,13.0,Mafia Legends,3,3
