,Standings,Standings,Standings,Standings
,Team,Team.1,Total,Round 1
0,1.0,OnlyResenha,48,48
1,2.0,TK,48,48
2,3.0,SLU,46,46
3,4.0,Team Magestic,45,45
4,5.0,Duty calls,41,41
5,6.0,UltiMaTuM,24,24
6,7.0,KDT - Amber,21,21
7,8.0,Live n Kill,21,21
8,9.0,Team Paragua,16,16
9,10.0,Lovely Venom,8,8
10,11.0,Perritos tiernos,7,7
11,12.0,Olympians,7,7
