,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 12:00 BSTWorld's Edge MajorPushers plugged off life SeComportaYa","Round 1 Round 1 September 25, 2021 - 12:00 BSTWorld's Edge MajorPushers plugged off life SeComportaYa","Round 2 Round 2 September 25, 2021 - 12:35 BSTWorld's Edge Slappers MajorPushers ZAB","Round 2 Round 2 September 25, 2021 - 12:35 BSTWorld's Edge Slappers MajorPushers ZAB","Round 3 Round 3 September 25, 2021 - 13:10 BSTWorld's Edge ZAB Moin Myster Senshi","Round 3 Round 3 September 25, 2021 - 13:10 BSTWorld's Edge ZAB Moin Myster Senshi","Round 4 Round 4 September 25, 2021 - 13:45 BSTWorld's Edge MajorPushers plugged off life ZAB","Round 4 Round 4 September 25, 2021 - 13:45 BSTWorld's Edge MajorPushers plugged off life ZAB"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,MP,93,112,1818,29,1616,102,22,112,2222
1,2.0,ZAB,57,63,0,37,99,112,1616,37,33
2,3.0,SLAP,39,121,44,112,1515,190,0,121,66
3,4.0,SCBS,35,82,66,45,55,45,99,73,0
4,5.0,Senshi,34,151,0,92,66,37,77,63,88
5,6.0,SCTA,23,37,33,131,0,54,66,151,11
6,7.0,plugged off life,20,29,22,160,0,170,0,29,0
7,8.0,Moin Myster,17,170,11,102,0,29,11,92,22
8,9.0,Backstabberinos,15,92,44,170,0,151,33,82,33
9,10.0,Kryptic,15,45,77,151,0,121,0,180,11
10,11.0,DIVE,14,131,22,54,33,131,22,111,0
11,12.0,SinoriaL,13,102,11,63,11,73,0,131,22
12,13.0,3FR,12,111,0,82,0,141,22,54,22
13,14.0,Squirtle Squad,11,190,0,73,0,63,33,102,0
14,15.0,Royal Mooses,11,73,0,141,0,82,0,45,0
15,16.0,Apex Who Dis,9,141,33,121,0,111,22,141,0
16,17.0,DASK,8,54,22,180,0,92,0,160,0
17,18.0,NPS,1,180,0,111,0,180,0,170,0
18,19.0,Tse OG,0,160,0,190,0,160,0,200,0
