,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 16, 2022 - 12:00 BRTStorm Point Mystical TERMINATORS Paradox Esports","Round 1 Round 1 April 16, 2022 - 12:00 BRTStorm Point Mystical TERMINATORS Paradox Esports","Round 2 Round 2 April 16, 2022 - 12:35 BRTStorm Point Coffe Team WTN E-SPORTS Green Umbrella Gaming","Round 2 Round 2 April 16, 2022 - 12:35 BRTStorm Point Coffe Team WTN E-SPORTS Green Umbrella Gaming","Round 3 Round 3 April 16, 2022 - 13:10 BRTStorm Point RUA 6 E-SPORTS Coffe Team G.O.A.T.","Round 3 Round 3 April 16, 2022 - 13:10 BRTStorm Point RUA 6 E-SPORTS Coffe Team G.O.A.T.","Round 4 Round 4 April 16, 2022 - 13:45 BRTWorld's Edge TERMINATORS Green Umbrella Gaming Mystical","Round 4 Round 4 April 16, 2022 - 13:45 BRTWorld's Edge TERMINATORS Green Umbrella Gaming Mystical","Round 5 Round 5 April 16, 2022 - 14:20 BRTWorld's Edge Mystical WTN E-SPORTS G.O.A.T.","Round 5 Round 5 April 16, 2022 - 14:20 BRTWorld's Edge Mystical WTN E-SPORTS G.O.A.T.","Round 6 Round 6 April 16, 2022 - 14:55 BRTWorld's Edge WTN E-SPORTS G.O.A.T. Green Umbrella Gaming","Round 6 Round 6 April 16, 2022 - 14:55 BRTWorld's Edge WTN E-SPORTS G.O.A.T. Green Umbrella Gaming"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,Mystical,71,1,7,10,4,12,1,3,4,1,14,9,5
1,2.0,COFFE,68,12,5,1,9,2,15,11,5,4,5,14,0
2,3.0,WTN,67,8,5,2,6,11,3,16,2,2,7,1,11
3,4.0,GUG,60,9,2,3,6,4,8,2,7,6,0,3,4
4,5.0,TERM,59,2,13,13,3,16,0,1,15,11,4,15,0
5,6.0,PRDX,47,3,4,7,3,5,3,5,2,9,9,5,2
6,7.0,GOAT,39,15,0,5,2,3,3,13,0,3,0,2,5
7,8.0,RUA6,33,5,0,6,1,1,4,15,0,8,0,4,1
8,9.0,ULW,28,6,0,8,5,9,0,12,1,10,0,7,9
9,10.0,SP,24,13,2,15,0,10,6,6,2,17,0,6,4
10,11.0,AIMC,21,4,0,4,3,17,0,7,0,5,0,11,0
11,12.0,SIG,15,14,0,16,0,8,1,4,1,13,1,10,1
12,13.0,2k ping,14,11,0,14,0,14,0,14,0,7,5,8,0
13,14.0,PVP,11,0,0,0,0,6,1,10,4,12,0,0,0
14,15.0,TCS,9,0,0,0,0,7,2,8,0,16,0,12,1
15,16.0,NICA,9,10,1,11,0,13,0,9,0,15,0,13,0
16,17.0,OSO,8,7,1,12,0,15,0,17,1,14,0,16,0
17,18.0,CAPI,0,0,0,0,0,0,0,0,0,0,0,0,0
18,19.0,MAUA,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,Tharsis,0,0,0,0,0,0,0,0,0,0,0,0,0
