Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Joel Mark,68,1,27,19,0,4,6,4,13
2.0,FC Destroy,66,15,1,1,11,1,14,3,8
3.0,Atum,29,3,0,10,1,6,3,2,4
4.0,Lunatics,28,12,3,9,3,5,8,6,4
5.0,Marine,25,9,5,14,0,2,6,10,0
6.0,KIBIINA-NO-OUCHI,25,2,5,3,0,10,0,9,0
7.0,Welfare,23,20,0,2,5,8,2,5,1
8.0,NrTv.Vs,22,10,2,18,2,14,0,1,3
9.0,SYTH,21,18,0,5,2,11,4,7,7
10.0,goo choki paa,19,5,4,6,3,9,2,12,0
11.0,FA Club FUG,18,6,3,7,3,17,3,15,2
12.0,Fada-one Arcana,18,4,3,17,0,3,1,8,0
13.0,EGJP,17,11,2,12,7,12,0,13,4
14.0,APXRS,15,16,0,8,6,15,0,11,5
15.0,456,10,17,0,4,2,7,0,18,0
16.0,WOW.AXIS,8,14,0,15,4,13,1,17,0
17.0,FaTe Diamond,6,13,2,13,0,16,0,14,1
18.0,TFC,2,20,0,11,0,18,1,19,0
19.0,leaps whitesheep,2,8,0,16,0,19,0,16,0
20.0,aim,0,19,0,20,0,20,0,20,0
