,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 April 10, 2022 - 12:00 SGTStorm Point DNZ Young ZeroTwo JustEasyTeam","Round 1 Round 1 April 10, 2022 - 12:00 SGTStorm Point DNZ Young ZeroTwo JustEasyTeam","Round 2 Round 2 April 10, 2022 - 12:35 SGTStorm Point MonkeWantBanana YiTuoshi DNZ Young","Round 2 Round 2 April 10, 2022 - 12:35 SGTStorm Point MonkeWantBanana YiTuoshi DNZ Young","Round 3 Round 3 April 10, 2022 - 13:10 SGTStorm Point Arena Mains Avenger DNZ Young","Round 3 Round 3 April 10, 2022 - 13:10 SGTStorm Point Arena Mains Avenger DNZ Young","Round 4 Round 4 April 10, 2022 - 13:45 SGTWorld's Edge Avenger Arena Mains YiTuoshi","Round 4 Round 4 April 10, 2022 - 13:45 SGTWorld's Edge Avenger Arena Mains YiTuoshi","Round 5 Round 5 April 10, 2022 - 14:20 SGTWorld's Edge Avenger Hakatsukasa OGL","Round 5 Round 5 April 10, 2022 - 14:20 SGTWorld's Edge Avenger Hakatsukasa OGL","Round 6 Round 6 April 10, 2022 - 14:55 SGTWorld's Edge OGL Avenger YiTuoshi","Round 6 Round 6 April 10, 2022 - 14:55 SGTWorld's Edge OGL Avenger YiTuoshi"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,AVG,89,6,4,18,0,2,11,1,11,1,7,2,11
1,2.0,YTS,85,4,7,2,10,8,3,3,9,4,8,3,13
2,3.0,DNZY,74,1,15,3,8,3,2,5,7,9,6,15,3
3,4.0,ARENA,46,16,1,5,3,1,8,2,2,14,1,9,3
4,5.0,OGL,39,5,0,4,2,17,0,4,0,3,0,1,4
5,6.0,Horizon,34,9,4,7,2,7,4,16,0,6,5,10,6
6,7.0,HAKA,32,13,1,11,4,9,6,19,1,2,7,16,0
7,8.0,ZeroTwo,30,2,3,9,0,20,0,11,7,12,6,14,0
8,9.0,JET,26,3,11,20,0,14,0,12,1,7,2,0,0
9,10.0,MIX-ONE,26,19,3,10,2,5,2,7,3,10,0,5,1
10,11.0,N-M,25,20,0,6,3,6,5,9,6,19,3,19,0
11,12.0,MWB,25,15,0,1,5,18,0,13,0,11,0,7,2
12,13.0,Systematic,24,14,0,13,3,19,0,10,7,5,2,13,3
13,14.0,Bots,22,12,2,17,4,10,4,20,0,15,3,8,3
14,15.0,PBY,21,7,6,19,0,12,4,15,1,13,2,18,2
15,16.0,Phantom,17,8,0,8,5,13,0,17,0,18,0,4,2
16,17.0,CHILL,16,11,0,16,0,16,1,14,2,8,3,6,3
17,18.0,Lowkey,12,17,0,14,1,15,2,6,3,17,0,12,0
18,19.0,FW,12,18,0,12,0,4,5,18,0,16,0,11,0
19,20.0,BIGG,9,10,0,15,3,11,0,8,0,20,0,17,0
