,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 July 09, 2022 - 18:40 EDTWorld's Edge 100 Thieves SCARZ AYM Esports","Round 1 Round 1 July 09, 2022 - 18:40 EDTWorld's Edge 100 Thieves SCARZ AYM Esports","Round 2 Round 2 July 09, 2022 - 19:15 EDTWorld's Edge 100 Thieves FA Kitties OpTic Gaming","Round 2 Round 2 July 09, 2022 - 19:15 EDTWorld's Edge 100 Thieves FA Kitties OpTic Gaming","Round 3 Round 3 July 09, 2022 - 19:50 EDTWorld's Edge 100 Thieves Alliance REJECT","Round 3 Round 3 July 09, 2022 - 19:50 EDTWorld's Edge 100 Thieves Alliance REJECT","Round 4 Round 4 July 09, 2022 - 20:25 EDTWorld's Edge Acend Sutoraiku 100 Thieves","Round 4 Round 4 July 09, 2022 - 20:25 EDTWorld's Edge Acend Sutoraiku 100 Thieves","Round 5 Round 5 July 09, 2022 - 21:00 EDTStorm Point TSM Fnatic AYM Esports","Round 5 Round 5 July 09, 2022 - 21:00 EDTStorm Point TSM Fnatic AYM Esports","Round 6 Round 6 July 09, 2022 - 21:35 EDTStorm Point Team Liquid FA Kitties Luminosity Gaming","Round 6 Round 6 July 09, 2022 - 21:35 EDTStorm Point Team Liquid FA Kitties Luminosity Gaming","Round 7 Round 7 July 09, 2022 - 22:10 EDTStorm Point OpTic Gaming Acend PULVEREX","Round 7 Round 7 July 09, 2022 - 22:10 EDTStorm Point OpTic Gaming Acend PULVEREX","Round 8 Round 8 July 09, 2022 - 22:45 EDTStorm Point Team Liquid Alliance SCARZ","Round 8 Round 8 July 09, 2022 - 22:45 EDTStorm Point Team Liquid Alliance SCARZ"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,100T,88,1,13,1,11,1,12,3,5,15,0,14,0,17,0,9,0
1,2.0,OG,78,13,0,3,11,4,8,7,4,18,0,10,1,1,14,5,6
2,3.0,TL,57,6,4,16,0,19,3,11,1,13,0,1,10,11,3,1,6
3,4.0,ALL,55,10,3,17,0,2,6,12,5,17,2,9,3,16,0,2,13
4,5.0,SZ,54,2,4,6,4,15,0,15,0,16,0,4,8,14,0,3,11
5,6.0,ACE,49,20,0,7,2,10,3,1,11,7,2,18,0,2,1,13,0
6,7.0,GMT,48,15,0,5,3,5,5,17,1,5,11,17,0,4,6,14,3
7,8.0,AYM,48,3,5,11,2,7,3,4,4,3,3,7,4,13,0,17,0
8,9.0,TSM,45,7,1,19,0,11,2,14,2,1,6,15,0,8,7,4,2
9,10.0,FNC,41,8,4,18,0,9,0,20,0,2,13,5,0,7,3,11,0
10,11.0,FAK,41,19,0,2,3,17,1,5,2,4,2,2,6,19,0,16,0
11,12.0,LG,40,5,5,8,2,16,0,10,0,6,2,3,6,10,1,6,1
12,13.0,GFR,40,4,5,13,1,8,2,9,3,9,7,19,0,6,0,8,5
13,14.0,SNG,35,9,5,14,4,18,0,19,0,10,1,8,3,5,7,7,1
14,15.0,PVX,30,11,0,20,0,6,2,6,1,8,1,16,0,3,7,12,2
15,16.0,RC,25,12,1,10,1,3,3,13,3,20,1,20,0,12,4,19,0
16,17.0,E6,25,16,0,4,3,12,2,16,0,19,0,12,3,18,3,10,5
17,18.0,STK,24,17,0,15,0,20,0,2,8,11,2,13,2,20,0,18,0
18,19.0,DF,21,14,1,12,1,14,2,8,2,12,3,11,3,9,0,20,0
19,20.0,ORF,18,18,0,9,4,13,0,18,0,14,0,6,5,15,0,15,0
