Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
7.0,Incarnate,24,4,2,8,1,3,5,12,1,Lobby 4,Quarterfinals,,,,,Split_2
8.0,Chonky Bees,22,13,0,2,7,11,0,5,0,Lobby 4,Quarterfinals,,,,,Split_2
9.0,Phantom,21,9,2,3,2,4,0,7,0,Lobby 4,Quarterfinals,,,,,Split_2
10.0,ZeroTwo,18,17,3,11,4,18,0,4,5,Lobby 4,Quarterfinals,,,,,Split_2
11.0,Team Sidai,13,10,1,10,1,5,1,8,0,Lobby 4,Quarterfinals,,,,,Split_2
12.0,dycalz,13,16,0,13,0,2,2,13,0,Lobby 4,Quarterfinals,,,,,Split_2
13.0,gib reps,12,14,0,7,4,9,1,15,0,Lobby 4,Quarterfinals,,,,,Split_2
14.0,Behr,11,7,0,14,3,6,1,18,0,Lobby 4,Quarterfinals,,,,,Split_2
15.0,Monkey Predator,7,8,1,15,0,16,0,6,0,Lobby 4,Quarterfinals,,,,,Split_2
16.0,oWLbEAR,6,18,0,5,0,17,0,10,0,Lobby 4,Quarterfinals,,,,,Split_2
17.0,Speed,4,15,0,9,0,15,0,17,0,Lobby 4,Quarterfinals,,,,,Split_2
18.0,WEEEEEJ,3,11,0,18,0,14,0,11,0,Lobby 4,Quarterfinals,,,,,Split_2
1.0,DNZY,108,1,10,9,9,9,5,5,10,Lobby 1,Semifinals,2.0,18.0,1.0,15.0,Split_2
2.0,JKs,90,8,4,1,11,7,6,3,11,Lobby 1,Semifinals,1.0,13.0,4.0,4.0,Split_2
3.0,MXT,53,18,6,10,7,15,4,14,5,Lobby 1,Semifinals,3.0,9.0,6.0,8.0,Split_2
4.0,CR4KD,43,11,2,13,0,1,7,2,5,Lobby 1,Semifinals,19.0,0.0,8.0,4.0,Split_2
5.0,CHILL,40,4,12,16,3,4,4,16,0,Lobby 1,Semifinals,11.0,2.0,7.0,5.0,Split_2
6.0,WARTX,40,9,4,7,1,5,0,1,11,Lobby 1,Semifinals,13.0,1.0,11.0,0.0,Split_2
7.0,DRG,40,16,2,2,3,8,0,8,4,Lobby 1,Semifinals,10.0,4.0,2.0,3.0,Split_2
8.0,Lowkey,36,2,11,19,0,19,0,7,3,Lobby 1,Semifinals,5.0,6.0,19.0,0.0,Split_2
9.0,AmK,31,20,0,4,4,2,4,9,1,Lobby 1,Semifinals,6.0,2.0,12.0,0.0,Split_2
10.0,SXT,26,3,2,15,0,13,1,19,3,Lobby 1,Semifinals,20.0,0.0,3.0,4.0,Split_2
11.0,Soosmar slayer,26,5,0,5,3,6,1,6,3,Lobby 1,Semifinals,15.0,0.0,13.0,3.0,Split_2
12.0,BLANK,25,7,1,3,4,17,3,10,1,Lobby 1,Semifinals,17.0,1.0,16.0,3.0,Split_2
13.0,ASC,23,17,0,17,1,12,4,17,0,Lobby 1,Semifinals,4.0,1.0,5.0,7.0,Split_2
14.0,END,22,13,0,6,1,3,6,12,0,Lobby 1,Semifinals,14.0,0.0,10.0,0.0,Split_2
15.0,EMDA,15,6,2,8,3,10,2,11,0,Lobby 1,Semifinals,16.0,0.0,20.0,0.0,Split_2
16.0,LIGJR,14,10,0,11,0,16,3,4,1,Lobby 1,Semifinals,9.0,0.0,17.0,0.0,Split_2
17.0,HAN,9,12,0,14,3,11,2,18,0,Lobby 1,Semifinals,18.0,0.0,15.0,0.0,Split_2
18.0,GOD OF DREAM,9,14,0,18,3,14,0,15,0,Lobby 1,Semifinals,12.0,0.0,9.0,0.0,Split_2
19.0,NoC,7,19,0,20,0,20,0,13,0,Lobby 1,Semifinals,7.0,2.0,14.0,0.0,Split_2
20.0,COHA,6,15,0,12,0,18,2,20,0,Lobby 1,Semifinals,8.0,0.0,18.0,0.0,Split_2
1.0,AVG,85,9,4,4,13,1,16,12,9,Lobby 2,Semifinals,1.0,10.0,11.0,0.0,Split_2
2.0,HAKA,74,3,2,3,14,7,0,2,12,Lobby 2,Semifinals,2.0,8.0,8.0,1.0,Split_2
3.0,JET,62,7,6,1,10,9,0,1,7,Lobby 2,Semifinals,9.0,1.0,5.0,3.0,Split_2
4.0,NOPLAY2,48,1,11,6,2,12,2,15,3,Lobby 2,Semifinals,6.0,3.0,9.0,5.0,Split_2
5.0,姐妹花,44,6,4,11,2,4,4,19,0,Lobby 2,Semifinals,12.0,4.0,1.0,8.0,Split_2
6.0,Phantom,43,17,0,2,3,3,5,4,1,Lobby 2,Semifinals,17.0,0.0,4.0,8.0,Split_2
7.0,END2,42,5,6,16,0,11,5,5,12,Lobby 2,Semifinals,11.0,5.0,10.0,2.0,Split_2
8.0,Chonky Bees,33,12,0,7,4,14,0,10,6,Lobby 2,Semifinals,4.0,4.0,15.0,6.0,Split_2
9.0,Horizon,31,10,6,15,4,6,3,14,0,Lobby 2,Semifinals,8.0,9.0,17.0,0.0,Split_2
10.0,AIC WIBU,29,14,2,12,0,16,0,17,0,Lobby 2,Semifinals,5.0,4.0,2.0,8.0,Split_2
11.0,iONR,29,19,0,17,0,8,3,11,0,Lobby 2,Semifinals,3.0,6.0,3.0,3.0,Split_2
12.0,OGL,28,4,4,5,1,15,0,8,3,Lobby 2,Semifinals,15.0,0.0,6.0,4.0,Split_2
13.0,okok,24,16,0,10,3,2,3,6,2,Lobby 2,Semifinals,14.0,0.0,13.0,0.0,Split_2
14.0,ZeroTwo,23,11,0,14,0,5,8,7,1,Lobby 2,Semifinals,20.0,1.0,12.0,3.0,Split_2
15.0,INX,21,2,7,18,0,10,3,16,0,Lobby 2,Semifinals,16.0,0.0,19.0,0.0,Split_2
16.0,Sanity,17,15,0,13,0,20,0,3,2,Lobby 2,Semifinals,7.0,3.0,20.0,0.0,Split_2
17.0,September,15,18,0,19,0,13,3,9,0,Lobby 2,Semifinals,18.0,0.0,7.0,6.0,Split_2
18.0,MWB,15,8,4,9,2,18,2,18,0,Lobby 2,Semifinals,10.0,0.0,14.0,0.0,Split_2
19.0,iON,5,20,0,8,0,19,1,13,1,Lobby 2,Semifinals,19.0,0.0,18.0,0.0,Split_2
20.0,Incarnate,2,13,0,20,0,17,0,20,0,Lobby 2,Semifinals,13.0,0.0,16.0,0.0,Split_2
1.0,AVG,99,4,4,1,16,13,4,3,9,Lobby 1,Finals,4.0,11.0,2.0,16.0,Split_2
2.0,DNZY,57,1,16,8,5,17,3,10,7,Lobby 1,Finals,3.0,3.0,20.0,0.0,Split_2
