Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,BP,72,1,13,3,8,1,16,15,3
2.0,SickerThanYoAvg,40,2,4,20,0,13,0,1,14
3.0,NBL,35,4,16,7,2,12,3,12,4
4.0,Sea Of Thieves,35,16,0,2,6,3,0,3,6
5.0,Never Lucky,34,12,0,1,14,20,0,4,2
6.0,GNR,33,7,4,16,3,6,5,2,6
7.0,Spooky Scary,28,10,6,4,7,5,1,14,2
8.0,2B1C,27,19,0,17,1,2,10,7,4
9.0,CC,20,6,3,9,1,10,8,13,0
10.0,SLS,17,15,0,15,2,7,6,5,0
11.0,BBJ,17,9,0,10,5,4,0,9,1
12.0,Hi,15,8,0,19,1,18,0,6,9
13.0,MoJo,15,3,6,12,0,19,0,11,0
14.0,DoubleD’sAndNick,14,20,0,6,3,11,2,8,3
15.0,Tijuana Piranas,10,14,0,5,3,17,2,19,0
16.0,BLitLd Revengers,8,13,2,14,1,16,3,17,0
17.0,UNL,7,17,1,11,0,14,0,10,2
18.0,Zero Creativity,6,5,1,18,0,15,0,16,0
19.0,NEAN,5,11,0,13,0,8,1,18,0
20.0,Rt66 Bandits,4,18,0,8,0,9,0,20,0
