Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,AM,75,2,15,1,17,13,5,3,9
2.0,SUP,66,16,3,2,16,1,15,4,6
3.0,SHEESH,36,4,5,3,6,11,4,6,5
4.0,Young Prodigies,35,8,4,4,2,2,10,11,2
5.0,JOYBOYS,30,3,7,10,0,3,4,8,1
6.0,Wonderboys,29,1,5,15,0,17,0,2,2
7.0,WASH,26,14,0,20,1,18,1,1,11
8.0,CPR Certified,20,10,0,6,0,4,4,7,3
9.0,BAD,19,7,3,16,3,12,2,5,3
10.0,BQB,17,5,2,5,0,14,2,9,2
11.0,ForcesGG,15,11,4,8,2,8,2,10,0
12.0,Point Theft,12,12,0,9,4,10,1,14,1
13.0,LM,11,6,5,18,0,20,0,13,2
14.0,OA,10,17,2,11,3,16,1,12,2
15.0,Zoo Pals,10,9,0,19,1,7,1,17,3
16.0,Dark Matter,10,19,0,7,3,5,0,20,0
17.0,Movement Temple,7,13,0,13,0,9,1,16,2
18.0,Kings of Chaos,7,15,0,12,2,6,0,18,0
19.0,Unsigned Talent,6,18,0,14,0,15,2,15,1
20.0,Console Crutch,4,20,1,17,3,19,0,19,0
