Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,ONE HP,68,3,3,3,1,4,1,1,11,8,4,2,6
2.0,ATK,59,1,11,16,0,7,7,13,1,14,0,1,11
3.0,PRSTS,53,12,6,10,8,16,3,12,1,1,11,10,6
4.0,SLAP,49,11,4,2,9,19,0,7,4,4,8,12,5
5.0,TRJ,49,9,6,5,7,2,10,17,0,20,0,5,7
6.0,21cm,43,16,5,15,3,1,17,11,0,9,1,15,0
7.0,SSD,40,5,1,12,2,11,6,3,7,12,5,13,4
8.0,4 3 Gang,40,15,3,7,3,6,6,9,3,2,7,16,0
9.0,3turrets1brain,40,10,0,6,3,3,0,4,9,5,4,9,1
10.0,SJP2,32,6,9,18,0,17,0,10,4,15,0,3,6
11.0,7Hologram,28,8,0,4,4,5,2,16,2,17,0,4,4
12.0,CHI,28,13,0,1,9,15,0,20,1,16,0,8,2
13.0,NIBL,28,4,3,14,0,18,0,18,0,3,9,7,0
14.0,HKE,25,2,8,20,0,10,4,14,0,18,0,14,0
15.0,Dababy,22,7,1,9,4,20,0,6,2,7,4,20,0
16.0,HNY,19,17,0,13,1,14,0,15,4,13,0,6,7
17.0,plei,19,18,0,17,0,9,0,2,3,6,2,18,0
18.0,POLSKA,14,20,0,11,3,13,0,5,4,11,0,19,0
19.0,4ypiki,13,14,0,8,3,8,0,8,2,19,0,11,0
20.0,HEXA,7,19,0,19,0,12,1,19,0,10,3,17,0
