,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 December 4, 2021 - 12:00 JSTWorld's Edge","Round 1 Round 1 December 4, 2021 - 12:00 JSTWorld's Edge","Round 2 Round 2 December 4, 2021 - 12:35 JSTWorld's Edge","Round 2 Round 2 December 4, 2021 - 12:35 JSTWorld's Edge","Round 3 Round 3 December 4, 2021 - 13:10 JSTWorld's Edge","Round 3 Round 3 December 4, 2021 - 13:10 JSTWorld's Edge","Round 4 Round 4 December 4, 2021 - 13:45 JSTWorld's Edge","Round 4 Round 4 December 4, 2021 - 13:45 JSTWorld's Edge"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,0_Reverse,57,29,88,82,33,112,1010,37,66
1,2.0,Numa,47,37,55,37,55,37,99,63,44
2,3.0,3DONE,43,112,1010,45,33,29,33,111,0
3,4.0,RDNS,38,82,33,29,55,45,44,54,66
4,5.0,RAVENS,32,111,33,54,1010,102,0,29,33
5,6.0,LandMarkGondola,32,63,22,63,33,92,0,112,77
6,7.0,ScL,27,54,22,112,33,63,0,73,0
7,8.0,WYV,21,45,22,92,0,73,11,45,33
8,9.0,Risus,11,121,0,111,0,54,33,92,0
9,10.0,Eclat,8,92,0,73,0,111,0,102,0
10,11.0,cEX,8,102,0,102,0,82,0,82,0
11,12.0,Level UP,4,73,0,121,0,200,0,200,0
