Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,STY,77,1,27,8,1,13,3,1,19
2.0,TU,36,6,3,1,10,6,2,7,0
3.0,NES,35,12,0,4,9,1,7,11,0
4.0,GEMI,34,11,0,3,8,7,6,3,2
5.0,NVS,29,2,3,5,4,5,4,12,0
6.0,Oasis,29,10,1,2,3,11,1,2,3
7.0,RGS,23,8,0,6,0,2,4,5,1
8.0,NT,22,5,1,14,0,4,3,4,3
9.0,NAT,21,3,1,9,0,8,1,8,6
10.0,LFTSF,20,4,4,10,3,10,3,13,0
11.0,Zenith,14,14,0,11,0,3,2,9,1
12.0,Trinity,12,7,0,13,0,12,0,6,4
13.0,TVN,11,9,0,7,1,9,2,14,0
14.0,BeastMode,5,13,0,12,0,14,0,10,0
