Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,TRP,67,9,4,1,13,1,14,14,9
2.0,RDM,50,2,2,3,12,3,10,6,0
3.0,BRB,44,17,0,4,9,2,7,3,7
4.0,AE,44,5,5,2,3,4,3,2,6
5.0,RT,35,4,3,6,5,13,0,1,6
6.0,ShameAssist,26,10,3,12,0,5,3,4,8
7.0,HVND,25,3,10,7,4,15,0,19,0
8.0,CBM,20,13,7,5,0,9,1,12,4
9.0,AST,18,6,8,13,1,11,0,9,2
10.0,Lyfe,17,1,4,20,0,16,0,18,1
11.0,CPS,16,18,0,10,3,8,6,7,0
12.0,FHR,12,7,1,16,0,10,4,11,1
13.0,CONT,10,20,0,15,0,7,4,10,0
14.0,CRB,9,16,0,11,1,17,0,8,5
15.0,HS10K,9,15,0,19,0,20,0,5,4
16.0,832,8,19,0,18,0,6,4,16,1
17.0,Excel,8,11,0,9,0,14,3,15,0
18.0,HaZarD,7,14,3,17,2,19,0,13,0
19.0,tgt,6,12,1,8,1,12,0,17,0
20.0,Anarchy,3,8,0,14,0,18,0,20,0
