Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,SHEESH,66,6,8,4,8,1,16,2,5
2.0,SKSQ,51,10,3,13,3,2,4,1,17
3.0,UNDOGS,40,7,4,2,9,19,0,3,8
4.0,HC,39,2,13,5,4,7,6,19,0
5.0,MH,37,1,11,9,6,18,0,13,5
6.0,Guppies,35,3,6,18,2,5,5,4,6
7.0,VOID,27,5,1,1,7,13,1,11,0
8.0,YFP,23,18,0,3,10,15,2,15,2
9.0,ASUR,21,8,5,7,0,3,2,8,0
10.0,WING,20,15,0,16,5,6,6,5,1
11.0,TS,18,14,0,8,0,8,3,6,7
12.0,Shadow Point,12,11,0,10,1,10,3,9,1
13.0,Revenge,12,4,3,14,0,12,1,14,0
14.0,FA,8,17,0,17,0,14,1,10,4
15.0,Vortex CGO,8,12,1,12,0,17,2,7,0
16.0,Raging Clue,8,13,0,15,0,4,0,12,0
17.0,LFBois,7,20,0,20,0,9,5,18,0
18.0,ChadP,5,9,0,11,2,16,0,16,0
19.0,Patrón,5,19,0,6,1,11,0,17,0
20.0,Rodents,0,16,0,19,0,20,0,20,0
