Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,NBL,55,2,10,13,4,13,3,3,20
2.0,Inevitable Gaming,46,4,1,2,4,1,12,17,3
3.0,CIMJ,44,6,6,18,1,2,8,2,8
4.0,CPR Certified,39,18,2,6,11,15,5,1,5
5.0,Unsigned Talent,38,3,5,4,7,3,4,8,1
6.0,GNR,32,9,5,1,6,17,1,5,2
7.0,MOAN,30,5,4,8,6,12,3,6,7
8.0,RCO,26,1,8,14,0,7,0,10,0
9.0,Dark Matter,24,7,4,10,0,6,3,4,4
10.0,Sussy Bakas,18,12,3,11,0,5,8,13,0
11.0,SJP,17,14,0,3,7,10,0,18,0
12.0,Code Cloud,15,15,2,9,6,14,2,15,0
13.0,Siracha,12,20,0,15,3,18,3,7,2
14.0,Shadow Point,9,10,1,12,2,16,0,11,2
15.0,1 vs Lobby,9,8,1,16,3,9,0,12,0
16.0,Young Prodigies,8,13,2,20,0,11,1,16,3
17.0,pub stars,8,11,2,17,0,4,0,19,0
18.0,Hooiya,7,16,1,5,0,19,1,14,0
19.0,Evil Eye,6,19,0,7,1,20,0,9,0
20.0,CCE,5,17,0,19,0,8,3,20,0
