,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints,StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 September 25, 2021 - 14:20 PDTWorld's Edge SMP Plimbo Red Guardians","Round 1 Round 1 September 25, 2021 - 14:20 PDTWorld's Edge SMP Plimbo Red Guardians","Round 2 Round 2 September 25, 2021 - 14:55 PDTWorld's Edge Alliance Esports SMP Team Yess","Round 2 Round 2 September 25, 2021 - 14:55 PDTWorld's Edge Alliance Esports SMP Team Yess","Round 3 Round 3 September 25, 2021 - 15:30 PDTWorld's Edge Alliance Esports ChocolateMilk OwO","Round 3 Round 3 September 25, 2021 - 15:30 PDTWorld's Edge Alliance Esports ChocolateMilk OwO","Round 4 Round 4 September 25, 2021 - 16:05 PDTWorld's Edge SMP Evil Eye Esports Plimbo","Round 4 Round 4 September 25, 2021 - 16:05 PDTWorld's Edge SMP Evil Eye Esports Plimbo"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K
0,1.0,SMP,65,112,1010,29,99,160,0,112,1313
1,2.0,Alliance Esports,49,131,11,112,88,112,1313,92,0
2,3.0,O TAMA,43,45,1010,131,22,45,88,63,99
3,4.0,Evil Eye,42,92,33,73,55,82,11,29,1717
4,5.0,Plimbo,38,29,88,63,0,73,77,37,11
5,6.0,ChocolateMilk,25,54,33,170,0,29,88,151,0
6,7.0,NightMare Red,24,102,1010,102,11,151,55,111,22
7,8.0,BOT,22,160,0,45,99,111,11,45,11
8,9.0,Facts on That,19,111,11,54,55,63,0,102,33
9,10.0,Yess,16,170,0,37,66,141,11,121,0
10,11.0,OwO,15,200,0,151,0,37,22,54,11
11,12.0,LostBoyz,14,121,44,121,33,121,33,141,0
12,13.0,ChamplainEsports,12,82,44,141,0,102,0,73,0
13,14.0,Red Guardians,11,37,11,111,0,131,0,131,0
14,15.0,SQS Gaming,9,151,0,92,33,170,0,82,11
15,16.0,WASH,6,73,0,82,0,180,0,170,11
16,17.0,Mexa Dream Team,5,180,11,190,0,54,0,160,0
17,18.0,Los Nenuckles,4,141,0,180,0,92,11,190,0
18,19.0,Team vex,3,63,0,160,0,190,0,180,0
19,20.0,Monke,0,190,0,200,0,200,0,200,0
