Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,4BIDDEN,105,2,11,3,13,16,3,6,5,2,12,1,21
2.0,AIE,86,1,9,18,0,1,12,1,15,3,6,11,0
3.0,SST,55,3,13,4,7,8,5,16,0,14,3,4,7
4.0,AK47,47,10,4,1,9,9,3,15,0,10,3,5,5
5.0,RAV,44,9,4,12,0,12,2,5,6,1,10,9,0
6.0,G.O.A.T Amber,36,4,8,9,3,18,3,9,7,13,4,17,1
7.0,Mafia Legends,36,17,0,15,0,2,8,4,9,17,0,6,1
8.0,BTH,35,12,0,6,8,3,10,14,0,12,3,13,0
9.0,MFL-Escape,30,18,0,13,0,5,1,3,3,4,2,3,0
10.0,NAVY,28,5,2,10,4,6,1,10,0,6,2,8,3
11.0,O3,28,6,1,2,3,7,1,8,0,8,0,7,1
12.0,CerditosMacabeos,26,14,0,8,1,11,0,2,2,5,4,12,1
13.0,GUG,22,19,0,17,0,10,0,7,1,7,0,2,4
14.0,Mystical,13,7,0,7,2,4,0,0,0,0,0,0,0
15.0,PVP,10,15,0,5,1,13,0,12,0,9,0,16,0
16.0,TBG,8,11,0,19,0,14,0,17,0,15,0,15,4
17.0,TCS,7,8,1,14,2,19,0,0,0,11,0,18,0
18.0,OSO,7,16,0,11,1,15,1,11,0,16,0,10,0
19.0,QUAS,6,13,0,16,0,17,0,13,1,18,0,14,2
20.0,pointbreakteam,0,20,0,20,0,20,0,0,0,0,0,0,0
