Standing,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
1.0,TW,72,4,5,15,4,10,3,19,4,1,15,3,7
2.0,BB,71,6,8,1,15,9,4,5,5,6,11,15,3
3.0,ARK5,59,18,2,2,3,5,7,6,0,17,0,1,9
4.0,MRE,56,3,7,4,12,4,3,14,1,5,2,7,6
5.0,ReA.Herja,56,13,2,19,0,1,4,2,14,3,3,11,3
6.0,BEXT,49,7,4,13,0,2,11,11,0,14,7,5,6
7.0,NegiNuki,45,9,2,6,3,3,4,8,7,20,0,2,6
8.0,Numa,44,10,2,20,2,14,4,1,4,15,0,6,4
9.0,SyS,35,5,3,10,2,20,0,4,8,10,0,4,3
10.0,RPG,33,14,3,16,2,6,5,3,2,4,2,9,1
11.0,Crest,31,2,0,9,2,15,4,20,1,7,2,8,1
12.0,AVA,30,1,15,18,1,18,0,15,0,19,0,13,0
13.0,SYS,28,19,1,17,3,16,0,10,4,2,4,19,0
14.0,RAVENS,25,15,1,3,8,12,3,18,0,11,2,14,0
15.0,BlackGorillaN,23,20,0,14,0,11,2,9,0,16,0,12,8
16.0,JDT,19,8,0,7,2,19,0,12,3,12,1,18,0
17.0,Zenith,18,17,2,11,0,8,0,7,1,9,7,20,0
18.0,KAIJU,16,16,1,8,1,17,0,16,3,8,2,10,0
19.0,ICHC,14,12,5,12,0,13,0,13,0,13,3,16,1
20.0,Ace1,13,11,1,5,1,7,3,17,0,18,0,17,0
