Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Slav Animals,59,17,0,1,8,2,9,1,9
2.0,Duty calls,51,3,13,8,9,10,3,3,8
3.0,ALFA WARRIORS,47,1,18,15,0,7,4,7,6
4.0,MVP,46,2,10,6,7,6,5,5,5
5.0,UltiMaTuM,38,5,4,3,7,3,8,14,0
6.0,NO MERCY,30,8,3,2,7,12,6,13,1
7.0,AGCL,26,19,1,10,0,1,8,9,1
8.0,MonsTer Team,22,6,1,14,2,16,0,2,6
9.0,OF,21,11,1,9,2,8,2,4,6
10.0,Blagueur,20,12,0,11,3,9,2,6,8
11.0,Lovely Venom,16,10,2,4,1,5,2,16,0
12.0,Mystical,12,9,0,12,0,4,1,10,1
13.0,Chimera,10,15,2,13,6,18,0,18,0
14.0,NÃO sei,10,7,0,7,0,13,0,8,1
15.0,CRUSHERS TEAM,8,4,1,17,0,11,1,19,0
16.0,Voy a Hacer,7,13,0,5,1,19,0,15,0
17.0,Solo Push,5,16,0,19,0,15,3,11,0
18.0,Tharsis,3,18,0,16,0,14,0,12,1
19.0,Squad Sombra,1,14,0,18,0,17,0,17,0
20.0,ItzFiv5,0,20,0,20,0,20,0,20,0
