Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,TK,69,8,4,6,2,1,21,1,13
2.0,ZETTA,46,6,3,1,19,6,1,8,3
3.0,KARMA K41,37,1,13,7,0,15,0,6,5
4.0,USB,36,13,5,3,7,16,2,4,9
5.0,Team wascka,35,5,10,4,4,10,5,10,3
6.0,sFx,34,14,1,2,4,2,7,11,2
7.0,Natural Killer,31,4,1,16,3,3,2,2,4
8.0,ROCKETZ TEAM,27,2,9,19,0,7,3,9,1
9.0,PiscoSour,24,16,1,10,4,5,3,5,6
10.0,Os MIAU,18,9,0,5,1,13,0,3,3
11.0,Olympians,14,3,4,12,2,17,0,20,0
12.0,Thirsty For Kill,12,12,0,9,0,4,3,12,0
13.0,zTeletubbiesTeam,8,10,0,11,3,12,0,15,0
14.0,SussyBaka,8,7,0,8,1,11,0,14,0
15.0,Nagga 5,6,18,0,15,1,14,2,13,0
16.0,SEM ORG,6,19,1,17,0,9,0,7,0
17.0,PTX,5,15,1,18,0,8,1,16,0
18.0,Dynanik Team 1,2,20,0,13,1,18,0,17,0
19.0,1crack2crack,2,11,0,14,0,19,0,20,0
20.0,Bicentenario,0,17,0,20,0,20,0,20,0
