Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,KZN,65,1,11,2,7,2,8,4,4
2.0,SLU,45,9,1,4,7,6,3,1,12
3.0,BTH,38,16,3,6,0,1,18,12,1
4.0,AIM,32,11,5,9,3,14,3,3,10
5.0,PATETEX,30,10,1,1,8,19,0,7,4
6.0,As Misera,29,17,4,5,4,3,9,15,0
7.0,Team seven,28,2,10,11,5,11,0,13,1
8.0,GDb,27,3,6,8,7,15,0,11,3
9.0,BRZ,27,4,3,16,2,9,0,2,6
10.0,BHT,23,5,1,3,2,8,0,6,4
11.0,PoliShopu,18,7,1,12,2,7,2,5,2
12.0,PVP,14,12,1,13,2,13,6,8,0
13.0,DavillaCrew,12,14,0,7,3,4,0,17,0
14.0,Morri Nem Vi,10,8,3,10,0,17,0,10,1
15.0,BRATVA420Forever,9,19,2,15,0,18,1,9,3
16.0,KDT - Amber,6,6,0,20,1,12,0,16,1
17.0,Vingadores Team,6,18,0,18,0,5,2,18,0
18.0,LostSoulsDreamer,4,15,0,14,0,10,0,19,0
19.0,TRAGIIC BR,2,13,0,19,0,16,0,14,0
20.0,NOKID E-SPORTS,0,20,0,17,0,20,0,20,0
