Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,SST,91,1,20,1,15,1,14,7,3
2.0,Love Egirls,37,4,4,11,5,11,6,3,8
3.0,PRDX,31,14,0,3,5,12,0,1,5
4.0,ElemenT,30,2,6,8,3,5,5,14,0
5.0,Fluxo Team,27,5,2,4,6,7,1,10,4
6.0,Sobek,26,17,0,6,2,9,4,2,6
7.0,Seven,25,19,0,10,9,3,7,16,0
8.0,SP,21,15,1,7,3,6,2,9,6
9.0,LIONS,20,13,2,12,0,4,5,4,1
10.0,Legión de monos,20,8,1,2,0,8,0,5,2
11.0,ZGravityEsports,18,11,3,14,0,10,0,8,9
12.0,OMEGA,16,9,0,18,0,2,4,13,0
13.0,Online,14,3,4,13,1,16,0,11,0
14.0,TCS,13,12,5,17,3,13,2,12,0
15.0,LosÁlamosGaming,7,7,4,20,0,20,0,20,0
16.0,Ainz oal gown,7,10,1,9,0,14,0,15,0
17.0,Platinas Team,7,18,0,5,0,17,0,6,0
18.0,ICEBERGS,4,6,0,16,0,15,0,20,0
19.0,Los perro waton,1,16,0,15,0,18,0,20,0
20.0,Tarapaca Gaming,0,20,0,20,0,20,0,20,0
