,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints,B vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 27, 2022 - 12:00 BRTWorld's Edge Xen Sunset raven's Most Valuable","Round 1 Round 1 March 27, 2022 - 12:00 BRTWorld's Edge Xen Sunset raven's Most Valuable","Round 2 Round 2 March 27, 2022 - 12:30 BRTWorld's Edge ODDIK LeaveNoWitness Elevate","Round 2 Round 2 March 27, 2022 - 12:30 BRTWorld's Edge ODDIK LeaveNoWitness Elevate","Round 3 Round 3 March 27, 2022 - 13:00 BRTWorld's Edge Antisocial Aimers Xen Sunset raven's","Round 3 Round 3 March 27, 2022 - 13:00 BRTWorld's Edge Antisocial Aimers Xen Sunset raven's","Round 4 Round 4 March 27, 2022 - 13:30 BRTStorm Point Team Cerberus Most Valuable LeaveNoWitness","Round 4 Round 4 March 27, 2022 - 13:30 BRTStorm Point Team Cerberus Most Valuable LeaveNoWitness","Round 5 Round 5 March 27, 2022 - 14:00 BRTStorm Point LeaveNoWitness ODDIK BTH E-Sports","Round 5 Round 5 March 27, 2022 - 14:00 BRTStorm Point LeaveNoWitness ODDIK BTH E-Sports","Round 6 Round 6 March 27, 2022 - 14:30 BRTStorm Point BTH E-Sports ODDIK Antisocial Aimers","Round 6 Round 6 March 27, 2022 - 14:30 BRTStorm Point BTH E-Sports ODDIK Antisocial Aimers"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ODK,81,7,7,1,17,5,7,9,0,2,7,2,4
1,2.0,LNW,76,12,7,2,8,10,3,3,14,1,13,18,0
2,3.0,XEN,59,1,6,12,0,2,11,10,0,8,1,5,11
3,4.0,ASAIM,48,8,1,4,0,1,8,14,0,5,4,3,4
4,5.0,BTH,47,5,2,15,0,14,1,17,2,3,4,1,13
5,6.0,MVP,47,3,4,6,1,6,2,2,10,12,1,7,3
6,7.0,ELV,44,13,3,3,3,11,7,8,3,4,4,10,6
7,8.0,SST,31,2,3,16,2,3,1,16,0,11,2,4,1
8,9.0,PD,29,10,2,17,3,4,7,5,1,10,3,17,0
9,10.0,GHT,26,4,5,5,7,15,1,11,0,15,0,12,0
10,11.0,PRDX,24,18,0,7,2,12,0,4,11,17,0,9,0
11,12.0,TCS,24,14,0,18,0,18,0,1,4,9,1,8,2
12,13.0,1IQ,23,9,5,10,2,17,0,7,0,13,3,14,4
13,14.0,3KPA,21,16,1,8,2,7,2,12,0,6,5,15,1
14,15.0,DYN,17,15,1,14,0,9,0,6,1,7,2,6,0
15,16.0,TK,10,11,0,9,2,16,2,15,2,16,0,16,0
16,17.0,1SE,10,17,0,13,0,8,0,13,0,18,0,13,5
17,18.0,AIE,10,6,2,11,0,13,0,18,1,14,0,11,0
18,19.0,3PLUS,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,CAPI,0,0,0,0,0,0,0,0,0,0,0,0,0
