,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints,A vs C StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 19, 2022 - 15:00 BRTStorm Point Team Singularity Dood Esports Union eSports Br","Round 1 Round 1 March 19, 2022 - 15:00 BRTStorm Point Team Singularity Dood Esports Union eSports Br","Round 2 Round 2 March 19, 2022 - 15:30 BRTStorm Point Horus Green Umbrella Gaming TBG ESPORTS","Round 2 Round 2 March 19, 2022 - 15:30 BRTStorm Point Horus Green Umbrella Gaming TBG ESPORTS","Round 3 Round 3 March 19, 2022 - 16:00 BRTStorm Point Fênix Team Suave Team Singularity","Round 3 Round 3 March 19, 2022 - 16:00 BRTStorm Point Fênix Team Suave Team Singularity","Round 4 Round 4 March 19, 2022 - 16:30 BRTWorld's Edge Team Singularity Plaq Tu Dum Suave","Round 4 Round 4 March 19, 2022 - 16:30 BRTWorld's Edge Team Singularity Plaq Tu Dum Suave","Round 5 Round 5 March 19, 2022 - 17:00 BRTWorld's Edge Fênix Team BreakingRulleZ Insomnia","Round 5 Round 5 March 19, 2022 - 17:00 BRTWorld's Edge Fênix Team BreakingRulleZ Insomnia","Round 6 Round 6 March 19, 2022 - 17:30 BRTWorld's Edge Suave Fênix Team TBD","Round 6 Round 6 March 19, 2022 - 17:30 BRTWorld's Edge Suave Fênix Team TBD"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SNG,101,1,11,4,4,3,9,1,9,4,13,3,7
1,2.0,FNX,63,14,0,16,0,1,9,9,1,1,10,2,7
2,3.0,SUAVE,60,19,1,8,5,2,7,3,8,17,1,1,8
3,4.0,INS,38,4,5,6,1,11,3,11,5,3,2,7,2
4,5.0,OMEGA,37,5,8,15,2,13,3,12,2,12,3,4,6
5,6.0,DOOD,37,2,6,5,5,15,4,15,2,14,2,10,0
6,7.0,HRS,36,13,2,1,10,14,3,6,1,18,3,17,0
7,8.0,BRZ,31,6,0,7,6,8,3,17,0,2,3,9,0
8,9.0,OF,30,7,2,10,5,18,2,8,3,11,4,8,4
9,10.0,NLNL,30,10,5,11,0,19,0,5,6,6,2,15,6
10,11.0,GUG,30,8,1,2,6,9,0,7,4,15,1,18,1
11,12.0,PTD,29,15,0,18,0,5,5,2,8,13,0,14,0
12,13.0,USB,28,3,5,14,0,10,0,10,3,9,4,11,1
13,14.0,DS,23,9,2,9,3,6,1,16,1,16,3,6,3
14,15.0,ULW,21,16,5,13,3,4,2,14,0,10,0,13,1
15,16.0,BHT,18,18,0,19,0,7,2,4,0,5,0,12,3
16,17.0,SIG,15,12,2,17,0,12,2,19,0,8,1,5,2
17,18.0,FSN,13,11,0,12,1,16,1,18,0,7,3,16,3
18,19.0,TBG,10,17,0,3,2,17,0,13,0,19,0,19,0
19,20.0,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0
