,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints,A vs B StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 13, 2022 - 12:00 BRTStorm Point 1Shoot Esports TBG ESPORTS Team Singularity","Round 1 Round 1 March 13, 2022 - 12:00 BRTStorm Point 1Shoot Esports TBG ESPORTS Team Singularity","Round 2 Round 2 March 13, 2022 - 12:30 BRTStorm Point BTH E-Sports ODDIK Plaq Tu Dum","Round 2 Round 2 March 13, 2022 - 12:30 BRTStorm Point BTH E-Sports ODDIK Plaq Tu Dum","Round 3 Round 3 March 13, 2022 - 13:00 BRTStorm Point Horus Team Singularity OnlyFlans","Round 3 Round 3 March 13, 2022 - 13:00 BRTStorm Point Horus Team Singularity OnlyFlans","Round 4 Round 4 March 13, 2022 - 13:30 BRTWorld's Edge ODDIK Horus TBG ESPORTS","Round 4 Round 4 March 13, 2022 - 13:30 BRTWorld's Edge ODDIK Horus TBG ESPORTS","Round 5 Round 5 March 13, 2022 - 14:00 BRTWorld's Edge Team Singularity TBG ESPORTS Horus","Round 5 Round 5 March 13, 2022 - 14:00 BRTWorld's Edge Team Singularity TBG ESPORTS Horus","Round 6 Round 6 March 13, 2022 - 14:30 BRTWorld's Edge ODDIK FusioN E-Sport Team Singularity","Round 6 Round 6 March 13, 2022 - 14:30 BRTWorld's Edge ODDIK FusioN E-Sport Team Singularity"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,SNG,83,3,5,15,1,2,13,12,2,1,16,3,9
1,2.0,ODK,74,11,1,2,5,5,6,1,10,6,3,1,8
2,3.0,HRS,72,18,0,13,3,1,14,2,10,3,8,4,3
3,4.0,1SE,57,1,8,4,5,6,5,5,3,8,6,11,3
4,5.0,BTH,40,10,0,1,8,9,0,17,0,5,8,10,2
5,6.0,TBG,32,2,4,11,1,16,0,3,0,2,1,18,0
6,7.0,FSN,31,6,9,7,1,12,0,14,0,18,0,2,4
7,8.0,PTD,30,14,3,3,4,7,1,15,2,16,0,9,6
8,9.0,3PLUS,29,4,6,6,9,14,1,16,0,13,0,7,0
9,10.0,3KPA,25,17,3,14,4,13,1,4,10,17,0,16,0
10,11.0,OF,24,13,0,17,0,3,4,18,0,7,2,5,3
11,12.0,1IQ,22,16,0,18,0,10,1,10,5,4,4,17,3
12,13.0,OMEGA,21,12,2,10,5,15,0,9,0,11,2,6,2
13,14.0,DYN,21,7,1,16,0,4,2,8,5,14,0,13,1
14,15.0,BHT,21,8,3,5,3,11,0,6,2,10,0,15,0
15,16.0,PRDX,18,9,4,12,0,17,0,7,2,15,2,8,1
16,17.0,AIE,14,15,0,9,0,18,0,11,1,9,1,12,5
17,18.0,SIG,14,5,1,8,1,8,1,13,0,12,0,14,0
18,19.0,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0
19,20.0,TCS,0,0,0,0,0,0,0,0,0,0,0,0,0
