,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints,A vs D StandingsPlacements and killsPoints
,Unnamed: 0_level_1,Team,Total,"Round 1 Round 1 March 12, 2022 - 15:00 BRTStorm Point LeaveNoWitness Pirate Dream Esports Elevate","Round 1 Round 1 March 12, 2022 - 15:00 BRTStorm Point LeaveNoWitness Pirate Dream Esports Elevate","Round 2 Round 2 March 12, 2022 - 15:30 BRTStorm Point Plaq Tu Dum Team Singularity TBG ESPORTS","Round 2 Round 2 March 12, 2022 - 15:30 BRTStorm Point Plaq Tu Dum Team Singularity TBG ESPORTS","Round 3 Round 3 March 12, 2022 - 16:00 BRTStorm Point Team Singularity Antisocial Aimers Blackhat Esports","Round 3 Round 3 March 12, 2022 - 16:00 BRTStorm Point Team Singularity Antisocial Aimers Blackhat Esports","Round 4 Round 4 March 12, 2022 - 16:30 BRTWorld's Edge Elevate LeaveNoWitness TBG ESPORTS","Round 4 Round 4 March 12, 2022 - 16:30 BRTWorld's Edge Elevate LeaveNoWitness TBG ESPORTS","Round 5 Round 5 March 12, 2022 - 17:00 BRTWorld's Edge Xen Team Singularity Elevate","Round 5 Round 5 March 12, 2022 - 17:00 BRTWorld's Edge Xen Team Singularity Elevate","Round 6 Round 6 March 12, 2022 - 17:30 BRTWorld's Edge Elevate Blackhat Esports Pirate Dream Esports","Round 6 Round 6 March 12, 2022 - 17:30 BRTWorld's Edge Elevate Blackhat Esports Pirate Dream Esports"
,Unnamed: 0_level_2,Team,Total,P,K,P,K,P,K,P,K,P,K,P,K
0,1.0,ELV,91,3,4,10,3,11,8,1,13,3,9,1,13
1,2.0,SNG,83,18,0,2,16,1,15,5,8,2,3,9,5
2,3.0,LNW,60,1,11,5,6,4,3,2,0,17,1,4,4
3,4.0,PTD,51,6,5,1,11,12,0,7,4,9,4,8,4
4,5.0,XEN,51,4,2,17,2,13,1,6,5,1,11,10,7
5,6.0,PD,45,2,6,4,5,14,2,17,0,6,4,3,3
6,7.0,BHT,40,9,0,8,0,3,3,4,5,15,0,2,6
7,8.0,TBG,30,17,0,3,1,7,3,3,2,5,2,15,0
8,9.0,MVP,26,19,0,11,1,16,0,8,1,4,9,6,4
9,10.0,OF,22,10,2,6,6,17,0,14,5,10,1,18,0
10,11.0,OMEGA,21,15,0,14,3,9,3,11,4,7,3,17,0
11,12.0,GHT,20,8,10,12,0,8,0,15,0,14,0,13,2
12,13.0,ASAIM,20,16,0,9,0,2,6,18,0,11,1,12,0
13,14.0,HRS,18,14,5,7,3,15,3,16,1,19,0,14,0
14,15.0,SIG,17,13,0,15,2,5,1,10,0,16,0,5,2
15,16.0,CAPI,15,5,2,19,0,18,0,9,3,13,0,16,3
16,17.0,SST,15,7,2,16,0,10,0,13,1,8,3,11,0
17,18.0,FSN,10,11,0,18,0,6,3,12,2,18,0,19,0
18,19.0,TK,10,12,0,13,0,19,0,19,0,12,3,7,1
19,20.0,AIM,0,0,0,0,0,0,0,0,0,0,0,0,0
