Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,NoFear,61,2,8,1,11,2,8,13,3
2.0,TOG,47,11,4,4,1,3,3,1,14
3.0,Wisps,46,6,4,8,1,1,10,5,10
4.0,ALKaIIIbI,38,1,11,11,3,11,3,3,0
5.0,Back to Lobby,37,8,2,6,3,8,4,2,12
6.0,Ignite,34,4,7,3,6,10,2,4,0
7.0,SeXy Chonks,32,12,0,2,13,9,5,12,1
8.0,Moanerz EU,18,5,0,7,3,7,4,14,0
9.0,LaFay,13,3,0,14,0,14,0,7,1
10.0,plugged off life,12,7,2,5,0,13,0,8,0
11.0,Dreamteam,11,13,0,12,2,5,2,11,0
12.0,Tr1peRs,11,15,0,15,0,4,2,10,0
13.0,7Hologram,10,10,0,10,0,6,0,6,0
14.0,789Academy,6,9,0,9,0,12,0,15,0
15.0,Violent Spuad,5,14,0,13,0,15,0,9,0
