Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,NMS,98,1,19,1,14,3,8,1,14
2.0,ORCL,43,5,5,2,7,7,0,2,6
3.0,SPIRAL,37,7,5,3,5,5,9,12,3
4.0,Justthreeplayers,32,2,5,7,0,6,3,5,5
5.0,Kissyourhomies,31,9,0,10,5,1,7,6,0
6.0,BFG,25,12,0,5,0,2,2,4,4
7.0,SlayerOfSundays,20,4,1,9,3,4,3,14,0
8.0,LPm,18,3,1,11,0,10,2,8,3
9.0,Falcons,12,11,1,4,1,9,1,13,0
10.0,White Clover,12,13,0,14,0,13,1,3,1
11.0,Multi,9,6,1,12,0,14,0,7,0
12.0,Evasion Savage,8,10,0,8,0,11,1,9,0
13.0,menfou,8,14,0,6,0,8,0,10,0
14.0,Aesir,5,8,0,13,0,12,0,11,0
