Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,AAS,69,12,0,5,3,1,21,1,16
2.0,plei,42,3,11,4,3,4,0,4,6
3.0,MOB INT,40,1,7,2,6,11,0,9,3
4.0,NIBL,33,13,1,12,3,6,6,2,9
5.0,OogieBoogiePushy,31,14,0,1,14,10,0,10,0
6.0,Arise eSport 2,26,4,2,7,3,9,6,5,1
7.0,PS_Esport,24,7,9,10,5,8,0,6,0
8.0,DIVE,22,9,0,3,2,2,1,12,0
9.0,ATK,20,5,4,14,0,13,2,3,1
10.0,Carpaccio,18,2,6,11,0,14,0,11,0
11.0,STING,15,11,0,9,0,3,3,8,0
12.0,CHOC,11,6,0,8,0,12,0,7,2
13.0,ConsoleGamers,9,10,0,13,0,5,0,13,1
14.0,Crying our best,9,8,0,6,0,7,0,14,0
15.0,nstckiNg,0,20,0,20,0,20,0,20,0
