Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
1.0,SSD,53,6,7,2,10,1,8,12,3,Lobby 1,Quarterfinals,,,,,Split_1
2.0,SJP2,50,1,19,7,7,9,6,19,1,Lobby 1,Quarterfinals,,,,,Split_1
3.0,POLSKA,44,3,4,14,1,3,8,2,7,Lobby 1,Quarterfinals,,,,,Split_1
4.0,TRJ,41,4,6,1,11,7,3,15,0,Lobby 1,Quarterfinals,,,,,Split_1
5.0,4ypiki,37,2,3,13,0,2,3,4,7,Lobby 1,Quarterfinals,,,,,Split_1
6.0,4 3 Gang,28,11,1,4,2,8,6,3,4,Lobby 1,Quarterfinals,,,,,Split_1
7.0,SLAP,27,13,9,11,4,10,4,10,4,Lobby 1,Quarterfinals,,,,,Split_1
8.0,HEXA,26,9,1,9,0,17,0,1,9,Lobby 1,Quarterfinals,,,,,Split_1
9.0,HNY,25,10,0,3,7,16,0,6,6,Lobby 1,Quarterfinals,,,,,Split_1
10.0,3turrets1brain,24,5,2,5,3,5,2,9,3,Lobby 1,Quarterfinals,,,,,Split_1
11.0,Trixx,21,18,0,16,4,6,8,7,3,Lobby 1,Quarterfinals,,,,,Split_1
12.0,Uchinix,15,12,1,6,1,20,0,8,7,Lobby 1,Quarterfinals,,,,,Split_1
13.0,Xc,12,7,2,8,1,13,3,17,0,Lobby 1,Quarterfinals,,,,,Split_1
14.0,KYKLOS,11,14,0,15,3,15,0,5,1,Lobby 1,Quarterfinals,,,,,Split_1
15.0,NXB,9,8,3,19,0,12,3,18,0,Lobby 1,Quarterfinals,,,,,Split_1
16.0,MF,7,19,0,18,1,11,1,11,3,Lobby 1,Quarterfinals,,,,,Split_1
17.0,4eSport,7,15,0,10,2,14,0,13,0,Lobby 1,Quarterfinals,,,,,Split_1
18.0,Monkey Milkers,7,16,0,17,0,4,0,14,1,Lobby 1,Quarterfinals,,,,,Split_1
19.0,Royal Mooses,2,17,0,12,1,18,0,16,0,Lobby 1,Quarterfinals,,,,,Split_1
20.0,Wait For Top 6,0,20,0,20,0,19,0,20,0,Lobby 1,Quarterfinals,,,,,Split_1
1.0,PRSTS,53,4,4,2,11,15,3,2,11,Lobby 2,Quarterfinals,,,,,Split_1
2.0,21cm,49,2,16,16,0,9,7,5,11,Lobby 2,Quarterfinals,,,,,Split_1
3.0,plei,44,3,7,10,5,5,13,8,4,Lobby 2,Quarterfinals,,,,,Split_1
4.0,HKE,40,8,1,3,6,1,4,6,5,Lobby 2,Quarterfinals,,,,,Split_1
5.0,ONE HP,38,11,2,1,7,2,6,14,0,Lobby 2,Quarterfinals,,,,,Split_1
6.0,ATK,33,6,4,6,1,20,1,1,9,Lobby 2,Quarterfinals,,,,,Split_1
7.0,CHI,27,5,8,4,2,10,1,7,2,Lobby 2,Quarterfinals,,,,,Split_1
8.0,Dababy,23,18,0,7,4,3,6,12,2,Lobby 2,Quarterfinals,,,,,Split_1
9.0,7Hologram,22,1,7,14,0,19,2,17,0,Lobby 2,Quarterfinals,,,,,Split_1
10.0,NIBL,21,9,1,11,3,7,5,13,5,Lobby 2,Quarterfinals,,,,,Split_1
11.0,ZBW,20,10,1,15,2,4,0,4,4,Lobby 2,Quarterfinals,,,,,Split_1
12.0,Velocity,19,16,0,5,3,8,2,3,1,Lobby 2,Quarterfinals,,,,,Split_1
13.0,letsdrinkforlove,15,13,0,9,7,14,4,18,0,Lobby 2,Quarterfinals,,,,,Split_1
14.0,7200 Slaves,12,12,3,8,0,12,1,9,2,Lobby 2,Quarterfinals,,,,,Split_1
15.0,WICKED,12,7,1,12,0,6,4,16,0,Lobby 2,Quarterfinals,,,,,Split_1
16.0,Justthreeplayers,9,14,0,19,0,13,1,10,4,Lobby 2,Quarterfinals,,,,,Split_1
17.0,Lucendi,5,15,0,13,3,18,0,19,0,Lobby 2,Quarterfinals,,,,,Split_1
18.0,Abysse,4,17,0,18,1,11,2,20,0,Lobby 2,Quarterfinals,,,,,Split_1
19.0,Dojo,2,20,0,17,1,17,0,11,0,Lobby 2,Quarterfinals,,,,,Split_1
20.0,SinoriaL,1,19,0,20,0,16,0,15,0,Lobby 2,Quarterfinals,,,,,Split_1
1.0,6bnt,55,6,0,1,13,2,11,5,3,Lobby 3,Quarterfinals,,,,,Split_1
2.0,BCG,41,2,13,4,9,16,2,13,2,Lobby 3,Quarterfinals,,,,,Split_1
3.0,Moanerz EU,39,7,8,3,1,1,8,19,0,Lobby 3,Quarterfinals,,,,,Split_1
4.0,1872,35,1,10,7,3,18,0,7,4,Lobby 3,Quarterfinals,,,,,Split_1
5.0,Steamroller,32,10,5,17,0,17,3,1,10,Lobby 3,Quarterfinals,,,,,Split_1
6.0,3FR,29,4,5,14,2,12,2,4,8,Lobby 3,Quarterfinals,,,,,Split_1
7.0,GetAimAssisted,28,3,3,11,2,4,7,6,0,Lobby 3,Quarterfinals,,,,,Split_1
8.0,SCTA,26,9,0,5,7,10,1,8,8,Lobby 3,Quarterfinals,,,,,Split_1
9.0,weeboys,20,17,0,2,7,14,0,11,2,Lobby 3,Quarterfinals,,,,,Split_1
10.0,Zeta,20,5,0,19,0,11,1,2,5,Lobby 3,Quarterfinals,,,,,Split_1
11.0,CG,19,16,5,18,1,5,8,17,1,Lobby 3,Quarterfinals,,,,,Split_1
12.0,TOG,18,11,2,10,1,3,2,18,3,Lobby 3,Quarterfinals,,,,,Split_1
13.0,Young Squad,16,13,1,6,3,20,0,3,1,Lobby 3,Quarterfinals,,,,,Split_1
14.0,3P,12,14,1,9,4,8,1,14,0,Lobby 3,Quarterfinals,,,,,Split_1
15.0,Arigato 4 pts,11,8,1,8,2,7,1,16,0,Lobby 3,Quarterfinals,,,,,Split_1
16.0,ANTG,10,15,1,16,0,9,2,9,2,Lobby 3,Quarterfinals,,,,,Split_1
17.0,OneHit,7,12,1,12,0,6,1,20,0,Lobby 3,Quarterfinals,,,,,Split_1
18.0,Next Gen Esports,6,19,0,20,1,13,2,12,1,Lobby 3,Quarterfinals,,,,,Split_1
19.0,Aim Assist,6,20,0,13,0,15,0,10,2,Lobby 3,Quarterfinals,,,,,Split_1
20.0,NCJA,4,18,0,15,0,19,0,15,2,Lobby 3,Quarterfinals,,,,,Split_1
1.0,TREX,74,4,5,3,21,4,3,1,16,Lobby 4,Quarterfinals,,,,,Split_1
2.0,GOD,46,1,15,13,3,6,6,13,5,Lobby 4,Quarterfinals,,,,,Split_1
3.0,Spacegliders,43,3,1,15,2,1,9,4,6,Lobby 4,Quarterfinals,,,,,Split_1
4.0,CRAZYx3,38,6,0,2,6,3,11,15,1,Lobby 4,Quarterfinals,,,,,Split_1
5.0,UTFT,31,11,1,1,9,8,3,12,2,Lobby 4,Quarterfinals,,,,,Split_1
6.0,SPPI,31,9,1,16,0,2,3,3,9,Lobby 4,Quarterfinals,,,,,Split_1
7.0,Yes,29,7,9,12,1,19,3,2,3,Lobby 4,Quarterfinals,,,,,Split_1
8.0,WLS,19,12,3,9,3,11,6,18,3,Lobby 4,Quarterfinals,,,,,Split_1
9.0,NoHalo,19,2,6,18,0,14,0,11,2,Lobby 4,Quarterfinals,,,,,Split_1
10.0,Kissyourhomies,16,18,0,14,2,5,1,5,4,Lobby 4,Quarterfinals,,,,,Split_1
11.0,bn,14,10,3,10,1,16,1,6,2,Lobby 4,Quarterfinals,,,,,Split_1
12.0,ExplosionFusion,12,15,2,7,0,13,4,17,1,Lobby 4,Quarterfinals,,,,,Split_1
13.0,Nuclear Apes,12,8,2,4,1,17,0,10,0,Lobby 4,Quarterfinals,,,,,Split_1
14.0,60fps,11,13,2,6,3,9,0,19,0,Lobby 4,Quarterfinals,,,,,Split_1
15.0,OXR,10,19,1,17,3,7,1,8,0,Lobby 4,Quarterfinals,,,,,Split_1
16.0,Oui,10,16,0,11,0,10,4,7,0,Lobby 4,Quarterfinals,,,,,Split_1
17.0,THE GHOST KILLER,10,14,0,5,0,15,1,14,2,Lobby 4,Quarterfinals,,,,,Split_1
18.0,SVR,8,5,4,19,0,18,0,16,0,Lobby 4,Quarterfinals,,,,,Split_1
19.0,Lunar,7,17,0,8,0,12,0,9,2,Lobby 4,Quarterfinals,,,,,Split_1
20.0,ThatsNotaBoulder,0,20,0,20,0,20,0,20,0,Lobby 4,Quarterfinals,,,,,Split_1
1.0,ONE HP,68,3,3,3,1,4,1,1,11,Lobby 1,Semifinals,8.0,4.0,2.0,6.0,Split_1
2.0,ATK,59,1,11,16,0,7,7,13,1,Lobby 1,Semifinals,14.0,0.0,1.0,11.0,Split_1
3.0,PRSTS,53,12,6,10,8,16,3,12,1,Lobby 1,Semifinals,1.0,11.0,10.0,6.0,Split_1
4.0,SLAP,49,11,4,2,9,19,0,7,4,Lobby 1,Semifinals,4.0,8.0,12.0,5.0,Split_1
5.0,TRJ,49,9,6,5,7,2,10,17,0,Lobby 1,Semifinals,20.0,0.0,5.0,7.0,Split_1
6.0,21cm,43,16,5,15,3,1,17,11,0,Lobby 1,Semifinals,9.0,1.0,15.0,0.0,Split_1
7.0,SSD,40,5,1,12,2,11,6,3,7,Lobby 1,Semifinals,12.0,5.0,13.0,4.0,Split_1
8.0,4 3 Gang,40,15,3,7,3,6,6,9,3,Lobby 1,Semifinals,2.0,7.0,16.0,0.0,Split_1
9.0,3turrets1brain,40,10,0,6,3,3,0,4,9,Lobby 1,Semifinals,5.0,4.0,9.0,1.0,Split_1
10.0,SJP2,32,6,9,18,0,17,0,10,4,Lobby 1,Semifinals,15.0,0.0,3.0,6.0,Split_1
11.0,7Hologram,28,8,0,4,4,5,2,16,2,Lobby 1,Semifinals,17.0,0.0,4.0,4.0,Split_1
12.0,CHI,28,13,0,1,9,15,0,20,1,Lobby 1,Semifinals,16.0,0.0,8.0,2.0,Split_1
13.0,NIBL,28,4,3,14,0,18,0,18,0,Lobby 1,Semifinals,3.0,9.0,7.0,0.0,Split_1
14.0,HKE,25,2,8,20,0,10,4,14,0,Lobby 1,Semifinals,18.0,0.0,14.0,0.0,Split_1
15.0,Dababy,22,7,1,9,4,20,0,6,2,Lobby 1,Semifinals,7.0,4.0,20.0,0.0,Split_1
16.0,HNY,19,17,0,13,1,14,0,15,4,Lobby 1,Semifinals,13.0,0.0,6.0,7.0,Split_1
17.0,plei,19,18,0,17,0,9,0,2,3,Lobby 1,Semifinals,6.0,2.0,18.0,0.0,Split_1
18.0,POLSKA,14,20,0,11,3,13,0,5,4,Lobby 1,Semifinals,11.0,0.0,19.0,0.0,Split_1
19.0,4ypiki,13,14,0,8,3,8,0,8,2,Lobby 1,Semifinals,19.0,0.0,11.0,0.0,Split_1
20.0,HEXA,7,19,0,19,0,12,1,19,0,Lobby 1,Semifinals,10.0,3.0,17.0,0.0,Split_1
1.0,BCG,69,11,3,3,8,2,7,11,3,Lobby 2,Semifinals,8.0,5.0,1.0,11.0,Split_1
2.0,3FR,57,1,14,18,0,8,4,2,10,Lobby 2,Semifinals,6.0,1.0,15.0,1.0,Split_1
3.0,NoHalo,52,10,4,1,13,7,11,12,2,Lobby 2,Semifinals,12.0,1.0,8.0,0.0,Split_1
4.0,CRAZYx3,52,15,1,2,8,5,4,4,2,Lobby 2,Semifinals,3.0,11.0,18.0,0.0,Split_1
5.0,Zeta,47,6,4,5,2,1,11,3,1,Lobby 2,Semifinals,16.0,3.0,19.0,0.0,Split_1
6.0,TREX,45,9,2,8,1,17,1,5,2,Lobby 2,Semifinals,1.0,9.0,3.0,3.0,Split_1
7.0,1872,44,13,4,7,11,9,2,13,3,Lobby 2,Semifinals,9.0,10.0,12.0,4.0,Split_1
8.0,SPPI,36,2,1,4,3,4,4,20,0,Lobby 2,Semifinals,7.0,3.0,9.0,1.0,Split_1
9.0,WLS,34,12,2,13,3,14,3,7,11,Lobby 2,Semifinals,20.0,0.0,11.0,8.0,Split_1
10.0,SCTA,34,18,0,12,1,3,7,16,0,Lobby 2,Semifinals,2.0,5.0,7.0,1.0,Split_1
11.0,GOD,33,17,3,15,0,19,0,6,10,Lobby 2,Semifinals,4.0,8.0,10.0,1.0,Split_1
12.0,Steamroller,33,16,1,6,2,6,6,19,0,Lobby 2,Semifinals,18.0,0.0,2.0,9.0,Split_1
13.0,Spacegliders,33,8,0,10,4,13,0,1,8,Lobby 2,Semifinals,5.0,0.0,17.0,0.0,Split_1
14.0,Yes,27,3,2,19,0,10,0,18,0,Lobby 2,Semifinals,11.0,0.0,6.0,12.0,Split_1
15.0,Moanerz EU,21,7,7,14,0,16,0,9,2,Lobby 2,Semifinals,17.0,0.0,13.0,5.0,Split_1
16.0,Kissyourhomies,18,4,2,9,2,12,1,10,0,Lobby 2,Semifinals,14.0,0.0,16.0,2.0,Split_1
17.0,6bnt,17,14,1,17,0,15,0,8,3,Lobby 2,Semifinals,10.0,2.0,4.0,0.0,Split_1
18.0,UTFT,15,5,7,20,0,11,0,14,0,Lobby 2,Semifinals,15.0,0.0,14.0,0.0,Split_1
19.0,weeboys,8,20,0,11,0,18,0,17,0,Lobby 2,Semifinals,19.0,1.0,5.0,2.0,Split_1
20.0,GetAimAssisted,5,19,0,16,2,20,0,15,1,Lobby 2,Semifinals,13.0,0.0,20.0,0.0,Split_1
1.0,TREX,81,1,9,1,11,14,1,3,7,Lobby 1,Finals,5.0,7.0,3.0,3.0,Split_1
2.0,SSD,74,2,6,17,1,1,12,1,6,Lobby 1,Finals,6.0,8.0,14.0,4.0,Split_1
3.0,WLS,66,5,7,19,0,3,7,4,3,Lobby 1,Finals,3.0,8.0,4.0,13.0,Split_1
4.0,1872,59,6,11,3,6,17,2,9,3,Lobby 1,Finals,11.0,3.0,2.0,12.0,Split_1
5.0,SPPI,48,7,1,2,4,7,0,2,3,Lobby 1,Finals,4.0,4.0,7.0,4.0,Split_1
6.0,3FR,39,9,3,6,8,13,8,13,2,Lobby 1,Finals,7.0,0.0,5.0,4.0,Split_1
7.0,TRJ,34,13,0,14,2,15,0,6,7,Lobby 1,Finals,2.0,9.0,11.0,0.0,Split_1
8.0,SJP2,33,8,3,12,3,11,5,5,10,Lobby 1,Finals,10.0,0.0,13.0,1.0,Split_1
9.0,NoHalo,33,15,0,11,0,4,3,16,2,Lobby 1,Finals,1.0,7.0,10.0,0.0,Split_1
10.0,4 3 Gang,32,3,5,5,2,5,5,12,1,Lobby 1,Finals,17.0,0.0,15.0,2.0,Split_1
11.0,BCG,29,12,5,10,1,2,8,19,0,Lobby 1,Finals,12.0,0.0,8.0,0.0,Split_1
12.0,ONE HP,27,4,4,7,5,19,0,15,1,Lobby 1,Finals,9.0,6.0,19.0,0.0,Split_1
13.0,SCTA,25,11,0,9,5,20,0,14,1,Lobby 1,Finals,16.0,0.0,1.0,3.0,Split_1
14.0,SLAP,16,17,1,13,3,16,0,8,1,Lobby 1,Finals,19.0,0.0,9.0,6.0,Split_1
15.0,PRSTS,15,14,2,16,0,18,1,10,1,Lobby 1,Finals,15.0,2.0,12.0,4.0,Split_1
16.0,ATK,14,19,1,8,1,8,0,7,5,Lobby 1,Finals,20.0,0.0,20.0,0.0,Split_1
17.0,21cm,13,20,0,4,2,9,3,11,0,Lobby 1,Finals,18.0,0.0,18.0,0.0,Split_1
18.0,Zeta,10,18,0,20,0,6,3,18,0,Lobby 1,Finals,14.0,0.0,6.0,0.0,Split_1
19.0,CRAZYx3,7,16,0,15,0,12,1,17,1,Lobby 1,Finals,13.0,2.0,16.0,0.0,Split_1
20.0,3turrets1brain,6,10,0,18,0,10,0,20,0,Lobby 1,Finals,8.0,0.0,17.0,0.0,Split_1
1.0,NoHalo,55,8,5,2,11,15,3,1,12,Lobby 1,Quarterfinals,,,,,Split_1
2.0,TREX,49,1,13,10,1,1,7,17,2,Lobby 1,Quarterfinals,,,,,Split_1
3.0,SJP2,47,2,14,18,0,3,8,6,6,Lobby 1,Quarterfinals,,,,,Split_1
4.0,Abysse,46,4,2,1,8,4,1,3,6,Lobby 1,Quarterfinals,,,,,Split_1
5.0,CRAZYx3,41,16,3,3,9,6,9,10,8,Lobby 1,Quarterfinals,,,,,Split_1
6.0,POLSKA,32,10,1,5,9,7,4,4,4,Lobby 1,Quarterfinals,,,,,Split_1
7.0,ThatsNotaBoulder,30,7,6,14,0,2,8,14,2,Lobby 1,Quarterfinals,,,,,Split_1
8.0,HKE,27,3,0,16,3,16,1,2,7,Lobby 1,Quarterfinals,,,,,Split_1
9.0,WICKED,17,17,0,6,5,11,3,9,3,Lobby 1,Quarterfinals,,,,,Split_1
10.0,Are we in,15,12,2,15,0,5,6,12,0,Lobby 1,Quarterfinals,,,,,Split_1
11.0,HLDC,13,9,3,17,0,10,5,13,0,Lobby 1,Quarterfinals,,,,,Split_1
12.0,weeboys,12,6,3,19,0,12,0,7,2,Lobby 1,Quarterfinals,,,,,Split_1
13.0,Wisps,12,14,0,4,2,19,0,5,0,Lobby 1,Quarterfinals,,,,,Split_1
14.0,Justthreeplayers,11,19,0,7,4,13,0,11,2,Lobby 1,Quarterfinals,,,,,Split_1
15.0,Vicimus,11,5,5,9,0,18,0,18,0,Lobby 1,Quarterfinals,,,,,Split_1
16.0,JediKnights,7,18,1,13,0,17,0,8,3,Lobby 1,Quarterfinals,,,,,Split_1
17.0,White Clover,6,13,0,8,1,9,0,19,0,Lobby 1,Quarterfinals,,,,,Split_1
18.0,PS,5,11,1,12,0,14,0,15,0,Lobby 1,Quarterfinals,,,,,Split_1
19.0,Dojo,5,15,0,11,0,8,1,16,0,Lobby 1,Quarterfinals,,,,,Split_1
20.0,25,0,20,0,20,0,20,0,20,0,Lobby 1,Quarterfinals,,,,,Split_1
1.0,PRSTS,51,1,12,15,3,5,7,3,5,Lobby 2,Quarterfinals,,,,,Split_1
2.0,HNY,46,2,8,1,12,14,4,16,0,Lobby 2,Quarterfinals,,,,,Split_1
3.0,SPPI,41,9,4,8,3,1,9,7,6,Lobby 2,Quarterfinals,,,,,Split_1
4.0,CHI,39,4,6,10,3,9,2,1,7,Lobby 2,Quarterfinals,,,,,Split_1
5.0,ZBW,30,10,2,2,6,8,3,8,4,Lobby 2,Quarterfinals,,,,,Split_1
6.0,ORCL,27,6,8,13,3,4,3,15,3,Lobby 2,Quarterfinals,,,,,Split_1
7.0,L2S,27,18,3,5,2,2,2,6,4,Lobby 2,Quarterfinals,,,,,Split_1
8.0,1872,25,20,0,19,0,11,7,4,12,Lobby 2,Quarterfinals,,,,,Split_1
