Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Duty calls,82,5,11,1,13,1,10,5,16
2.0,AIM,47,15,0,3,6,8,3,1,16
3.0,USB,40,3,6,6,3,7,5,2,4
4.0,Seven,38,1,4,11,0,2,10,9,0
5.0,AsheTeam,34,2,6,4,2,4,2,7,2
6.0,Fluxo Team,21,6,7,7,5,11,1,14,0
7.0,MonsTer Team,21,10,0,12,0,5,7,4,2
8.0,PVP,20,16,0,2,7,15,0,6,0
9.0,ElemenT,19,8,1,10,2,3,3,11,1
10.0,KPS,18,7,1,8,2,10,0,3,1
11.0,xKarma,14,14,0,5,2,6,2,10,0
12.0,LostSoulsDreamer,12,4,3,9,0,13,0,13,0
13.0,TBG,9,13,2,14,0,12,0,12,3
14.0,KARMA K41,7,11,3,15,0,16,0,15,1
15.0,Against All Odds,6,9,0,13,0,14,0,8,0
16.0,Bicentenario,3,12,0,16,0,9,0,16,0
17.0,Squad Sombra,0,20,0,20,0,20,0,20,0
