Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Slav Animals,78,1,17,1,9,7,2,1,11
2.0,Love Egirls,47,14,5,15,4,4,16,9,13
3.0,ALFA WARRIORS,45,6,3,2,6,1,10,8,0
4.0,KZN,43,2,1,6,9,2,11,12,0
5.0,As Misera,30,8,3,3,4,5,3,5,3
6.0,Natural Killer,25,7,9,7,4,6,0,16,3
7.0,LIONS,25,5,1,13,1,3,3,7,5
8.0,sFx,21,15,0,12,0,10,0,3,10
9.0,Taichi Horror,20,3,2,9,5,13,0,6,0
10.0,Tres Rosas,14,4,4,14,0,8,1,11,0
11.0,Tharsis,13,9,1,17,0,12,2,4,2
12.0,PPEX,12,13,0,11,0,18,0,2,1
13.0,PTX,11,16,0,5,3,9,0,10,0
14.0,ZISKA,7,11,0,4,1,16,0,17,0
15.0,PATETEX,6,17,0,8,0,17,0,15,3
16.0,Team Paragua,5,18,0,10,0,15,1,13,0
17.0,LosÁlamosGaming,4,10,0,16,0,14,0,14,0
18.0,ADN,3,12,0,18,0,11,1,18,0
