Standing,Team,Total,P,K,P.1,K.1,P.2,K.2,P.3,K.3,Lobby,Round,P.4,K.4,P.5,K.5,Split
7.0,NEMO,37,2,7,10,0,4,2,6,1,Lobby 1,Semifinals,10.0,0.0,4.0,1.0,Split_2
8.0,FAFAFA,35,13,3,5,9,13,1,10,2,Lobby 1,Semifinals,14.0,3.0,9.0,6.0,Split_2
9.0,ICHC,32,20,0,2,6,16,0,19,1,Lobby 1,Semifinals,7.0,6.0,5.0,3.0,Split_2
10.0,ORC,32,12,0,14,0,6,4,2,1,Lobby 1,Semifinals,3.0,3.0,12.0,2.0,Split_2
11.0,LLGS,28,4,0,12,2,11,2,5,3,Lobby 1,Semifinals,6.0,1.0,7.0,3.0,Split_2
12.0,DON,27,5,6,18,0,7,2,8,3,Lobby 1,Semifinals,9.0,3.0,10.0,0.0,Split_2
13.0,RAID,25,17,0,14,0,15,0,17,0,Lobby 1,Semifinals,2.0,14.0,20.0,0.0,Split_2
14.0,OC,25,14,4,3,7,5,1,18,0,Lobby 1,Semifinals,19.0,0.0,13.0,0.0,Split_2
15.0,YNI,25,18,0,16,0,10,3,1,6,Lobby 1,Semifinals,8.0,0.0,18.0,0.0,Split_2
16.0,ALT,23,16,3,7,5,17,0,20,0,Lobby 1,Semifinals,5.0,2.0,11.0,5.0,Split_2
17.0,IGG,23,1,8,20,0,18,0,13,0,Lobby 1,Semifinals,20.0,1.0,15.0,0.0,Split_2
18.0,MIYAM,19,19,0,11,3,19,0,11,2,Lobby 1,Semifinals,4.0,5.0,16.0,2.0,Split_2
19.0,AXIZ,17,9,0,17,0,14,4,15,2,Lobby 1,Semifinals,16.0,0.0,6.0,4.0,Split_2
20.0,O2,13,8,0,4,1,9,1,12,1,Lobby 1,Semifinals,17.0,0.0,17.0,0.0,Split_2
1.0,CRW,86,1,15,1,12,3,10,9,2,Lobby 2,Semifinals,13.0,4.0,7.0,6.0,Split_2
2.0,LFTSF,69,15,2,18,0,1,12,2,6,Lobby 2,Semifinals,1.0,10.0,8.0,3.0,Split_2
3.0,N1A,63,11,0,2,7,2,8,8,3,Lobby 2,Semifinals,10.0,6.0,2.0,7.0,Split_2
4.0,TU,47,5,3,7,5,4,0,5,10,Lobby 2,Semifinals,2.0,3.0,12.0,0.0,Split_2
5.0,Streamer,46,4,2,4,4,13,2,1,7,Lobby 2,Semifinals,8.0,5.0,11.0,0.0,Split_2
6.0,STY,44,9,9,5,10,14,8,12,6,Lobby 2,Semifinals,20.0,0.0,17.0,3.0,Split_2
7.0,NVS,36,7,3,8,4,6,0,4,0,Lobby 2,Semifinals,4.0,0.0,4.0,6.0,Split_2
8.0,NT,35,13,3,14,0,19,0,13,0,Lobby 2,Semifinals,14.0,6.0,1.0,10.0,Split_2
9.0,GEMI,35,6,4,10,1,5,4,7,0,Lobby 2,Semifinals,6.0,3.0,5.0,4.0,Split_2
10.0,VEX,32,2,2,15,0,8,3,10,1,Lobby 2,Semifinals,19.0,0.0,3.0,5.0,Split_2
11.0,VS,29,19,0,19,0,18,1,6,11,Lobby 2,Semifinals,3.0,4.0,14.0,2.0,Split_2
12.0,RDNS,26,3,10,9,0,11,1,15,0,Lobby 2,Semifinals,9.0,0.0,9.0,0.0,Split_2
13.0,DSG,24,16,2,13,2,17,3,14,3,Lobby 2,Semifinals,12.0,4.0,15.0,6.0,Split_2
14.0,NES,23,18,0,12,0,12,0,3,7,Lobby 2,Semifinals,11.0,0.0,6.0,3.0,Split_2
15.0,UNDOGS,22,14,0,3,4,15,0,11,0,Lobby 2,Semifinals,7.0,5.0,19.0,0.0,Split_2
16.0,ScL,15,17,0,17,0,9,7,17,0,Lobby 2,Semifinals,17.0,0.0,10.0,4.0,Split_2
17.0,RGS,12,12,0,20,0,7,1,19,0,Lobby 2,Semifinals,5.0,2.0,13.0,0.0,Split_2
18.0,NAT,10,8,0,6,5,20,0,16,0,Lobby 2,Semifinals,18.0,0.0,18.0,0.0,Split_2
19.0,AGND,7,10,0,16,2,16,1,20,0,Lobby 2,Semifinals,15.0,1.0,16.0,0.0,Split_2
20.0,Oasis,7,20,0,11,2,10,1,18,1,Lobby 2,Semifinals,16.0,0.0,20.0,0.0,Split_2
1.0,GEMI,68,4,5,2,13,5,6,11,2,Lobby 1,Finals,10.0,6.0,3.0,8.0,Split_2
2.0,STY,67,13,2,10,9,10,7,1,13,Lobby 1,Finals,5.0,12.0,10.0,1.0,Split_2
3.0,KZG,66,12,2,12,2,1,13,10,6,Lobby 1,Finals,1.0,15.0,19.0,0.0,Split_2
