Standing,Team,Total,P,K,P,K,P,K,P,K
1.0,Zoo Pals,71,1,15,4,3,1,13,8,9
2.0,WASH,46,6,4,13,7,10,0,1,17
3.0,MAP,41,3,4,1,10,18,1,4,2
4.0,BP,35,2,7,7,4,6,7,13,1
5.0,OA,31,4,3,8,8,13,0,3,5
6.0,LM,26,18,0,5,3,9,5,2,3
7.0,Onyx,24,9,1,2,10,17,1,15,0
8.0,LVG,21,8,8,10,2,8,3,11,1
9.0,ChayKayJay,21,5,3,3,2,7,1,14,0
10.0,Undisputed,20,16,0,19,0,3,4,5,5
11.0,TAT,20,13,2,18,1,2,1,6,3
12.0,hi rollers,16,10,3,15,1,12,5,9,1
13.0,3lokos,15,7,4,11,0,15,1,7,2
14.0,OutofPocketGamer,13,15,1,14,1,5,5,16,0
15.0,Beamer Bros,11,19,0,12,1,11,3,12,4
16.0,NSO,11,12,1,9,4,14,0,10,0
17.0,INF,10,11,1,6,0,4,0,18,0
18.0,Oasis,2,14,0,17,0,16,1,17,0
19.0,Kapatillos,1,17,1,20,0,20,0,20,0
20.0,CLICKCIRCLES,0,20,0,16,0,20,0,19,0
