,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,BBJ,85,85
3,2.,All The Smoke,66,66
4,3.,LuxuryRose,51,51
5,4.,The Stinkies,28,28
6,5.,Buck Town Squad,18,18
7,6.,Hardstuck Plat,17,17
8,7.,CatDog,17,17
9,8.,JustSomeWarriors,17,17
10,9.,H4GAMING,13,13
11,10.,ASE,13,13
12,11.,Team Ravag3,12,12
13,12.,Heavy Force,10,10
14,13.,Lap Sap,9,9
15,14.,YourMothersFav,6,6
16,15.,Firebirds,1,1
