,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,YouLikeThatMate?,88,88
3,2.,InevitableGaming,62,62
4,3.,LMX,39,39
5,4.,4Fun,37,37
6,5.,oni,33,33
7,6.,"You stay, I go",25,25
8,7.,Anger Of Nubs,21,21
9,8.,Unlucky Players,13,13
10,9.,Eleventh Squad,12,12
11,10.,Mexican Demons,12,12
12,11.,Valhalla,10,10
13,12.,The Bread Bears,8,8
14,13.,Better Not Run,7,7
15,14.,Merk and Co,7,7
16,15.,Aztecas Mex Team,3,3
