,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,Insurgents,48,48
3,2.,Pipeliners,47,47
4,3.,TS,39,39
5,4.,KDT,39,39
6,5.,Hi,36,36
7,6.,The Loud Boys,35,35
8,7.,AGL,28,28
9,8.,Team Asensinos,25,25
10,9.,Team Pepinito,14,14
11,10.,Sleepy Hut,14,14
12,11.,Exoterran X,12,12
13,12.,Squid Squad,11,11
14,13.,ELIT3 EMPIRE,9,9
15,14.,The Banner Bros,8,8
16,15.,Three Lil Bots,4,4
