,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,SMP,93,93
3,2.,Dumpsters,49,49
4,3.,We Lose,39,39
5,4.,Selfish Team,33,33
6,5.,High Dexterity,22,22
7,6.,MEAL Team 6,20,20
8,7.,WeBall,17,17
9,8.,SQS Gaming,17,17
10,9.,Fallen Legacy,16,16
11,10.,SW,15,15
12,11.,BlueDevilsGaming,14,14
13,12.,Bro Exclusive,14,14
14,13.,Cerberus,14,14
15,14.,Good Vibes Only,8,8
16,15.,Rising. Phoenix,7,7
