,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,BAD,75,75
3,2.,IFE,75,75
4,3.,OrgSignUs,36,36
5,4.,SUP,35,35
6,5.,Adonitology,28,28
7,6.,Devils x Death,17,17
8,7.,Shadow IllusionZ,15,15
9,8.,Solus,14,14
10,9.,ill,14,14
11,10.,Aim Botz,14,14
12,11.,We Better Word,13,13
13,12.,GLO,12,12
14,13.,JokersFC,4,4
15,14.,MBM,4,4
