,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,EST,86,86
3,2.,Tijuana Piranas,56,56
4,3.,Sniper Meta,54,54
5,4.,Vault Hunters,33,33
6,5.,Cod kids,23,23
7,6.,2 Zoomers1boomer,19,19
8,7.,The Big 3,17,17
9,8.,KThrewLife,16,16
10,9.,Team Boomer,14,14
11,10.,Grizzy,12,12
12,11.,Dominators,12,12
13,12.,The Pack,11,11
14,13.,oGwaffles,8,8
15,14.,RAG3,6,6
16,15.,Discord Admins,4,4
