,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,Never Lucky,102,102
3,2.,The Fudges,48,48
4,3.,CVS,41,41
5,4.,LZR,38,38
6,5.,Undisputed,33,33
7,6.,Gods Plan Gaming,22,22
8,7.,Gryphon Gaming,18,18
9,8.,Team Possessed,16,16
10,9.,IntentionalWhite,15,15
11,10.,GPS,10,10
12,11.,Simpfor2Dgirls,7,7
13,12.,PuraVidaCR,7,7
14,13.,NA Assault,7,7
15,14.,The Bois,5,5
16,15.,Los KKS,4,4
