,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,Aisle 5,102,102
3,2.,ZERO,51,51
4,3.,Lorax,39,39
5,4.,Razer 3dge Black,28,28
6,5.,NightMare Red,28,28
7,6.,Exoterran Y,26,26
8,7.,L1FT,21,21
9,8.,Audio Visual,13,13
10,9.,Swagnificent,12,12
11,10.,Vertic,11,11
12,11.,ObviouslyMX,11,11
13,12.,BootyBoyz,9,9
14,13.,KING OF HELL,8,8
15,14.,Mist Gaming,5,5
