,0,1,2,3
0,Standings,,,
1,Team,Total,Round 1,
2,1.,DNO,91,91
3,2.,Controller Bots,41,41
4,3.,ING,30,30
5,4.,Nobody,28,28
6,5.,Kox Gaming,26,26
7,6.,Hardstuck10k,25,25
8,7.,XcellentEra,24,24
9,8.,UBC Blue,19,19
10,9.,ROT,18,18
11,10.,The Monke Men,16,16
12,11.,INF,15,15
13,12.,Lonesome Devils,12,12
14,13.,Dub4Bub,9,9
15,14.,Modern Esports,9,9
16,15.,LegendaryEsports,8,8
